	"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
191АС.4.310	Фундаментные работы	Устройство боковой обмазочной изоляции стен и конструкций битумным праймером (Резерв НЗС)	0	0	0	м2	0,034
191АС.5.311	Фундаменты конструкций	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза (Резерв НЗС)	0	0	0	м2	0,39
191АС.9.326	Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей (сэндвич-панелей) заводской готовности	31,5	0	31,5	м2	0,48
191АС.9.327	Стеновое ограждение	Устройство вентилируемых фасадов с облицовкой плитами из керамогранита с теплоизоляционным слоем	280	0	280	м2	1,42
191АС.9.328	Стеновое ограждение	Замена поврежденных утеплителя и ветрозащитной мембраны с устройством вентзазора (цоколь 1,8м)	250	0	250	м2	0,45
191АС.9.329	Стеновое ограждение	Восстановление цоколя плиточным покрытием (взамен керамической плитки с трещинами и сколами)	250	0	250	м2	1,42
191АС.9.330	Стеновое ограждение	Монтаж ограждающих конструкций внутренних стен из профилированного листа	90	0	90	м2	0,21
191АС.10.336	Кровельный этап	Огрунтовка металлических несущих балок перекрытия за один раз грунтовкой ГФ-0119	39,6	0	39,6	м2	0,11
191АС.10.337	Кровельный этап	Огнезащитное покрытие балок перекрытия терморасширяющимся огнезащитным материалом "Огракс-В-СК"	39,6	0	39,6	м2	0,26
191АС.10.338	Кровельный этап	Устройство мелких покрытий парапетов, брандмауэров и свесов из листовой оцинкованной стали	41,6	0	41,6	м2	0,74
191АС.10.344	Кровельный этап	Дополнительное устройство мелких фасонных покрытий из листовой оцинкованной стали (Доборные элементы)	8	0	8	м2	0,74
191АС.11.348	Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" с одинарным металлокаркасом глухих	177,5	0	177,5	м2	0,62
191АС.11.349	Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" под монтаж внутренних дверных блоков	177,5	0	177,5	м2	0,68
191АС.11.350	Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" глухих (Дополнительные проектные зоны)	174,8	0	174,8	м2	0,62
191АС.12.353	Заполнение проемов	Монтаж оконных блоков из алюминиевых многокамерных профилей с герметичными стеклопакетами	7,6	0	7,6	м2	0,84
191АС.12.354	Заполнение проемов	Установка металлических дверей с площадью дверного проема до 2,5 м2	2,03	0	2,03	м2	1,42
191АС.12.355	Заполнение проемов	Установка блоков из ПВХ в наружных и внутренних дверных проемах в каменных стенах	1,8	0	1,8	м2	1,18
191АС.12.356	Заполнение проемов	Установка противопожарных дверей однопольных глухих в готовые проемы	6,93	0	6,93	м2	1,24
191АС.14.363	Полы (Покрытия)	Устройство покрытий бетонных базовой толщиной 30 мм	27,5	0	27,5	м2	0,26
191АС.14.364	Полы (Покрытия)	Добавление толщины бетонного покрытия на каждые 5 мм изменения проектного слоя	27,5	0	27,5	м2	0,011
191АС.14.365	Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой пола отм. 0.000)	97,7	0	97,7	м2	0,26
191АС.14.366	Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка (Специальные зоны)	12,8	0	12,8	м2	1,18
191АС.14.367	Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных	97,7	0	97,7	м2	0,94
191АС.14.368	Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических (отметка +4.300)	35,3	0	35,3	м2	0,94
191АС.14.369	Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой плиты перекрытия +4.300)	35,3	0	35,3	м2	0,26
191АС.14.370	Полы (Покрытия)	Увеличение толщины бетонного покрытия набетонки на отметке +4.300 до проектных 68 мм	35,3	0	35,3	м2	0,0836
191АС.14.371	Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм с рисунком (Площадки крылец)	4,3	0	4,3	м2	1,64
191АС.14.372	Полы (Покрытия)	Шлифовка бетонных, металлоцементных или мозаичных покрытий крылец	4,3	0	4,3	м2	0,42
191АС.15.374	Полимерные полы	Грунтовочно-пропиточный слой полимерного наливного покрытия "УРЕДУР 500" перед финишем	541,2	0	541,2	м2	0,072
191АС.15.375	Полимерные полы	Оклейка обеспыленных бетонных поверхностей высокопрочной стеклотканью в 1 слой	541,2	0	541,2	м2	1,46
191АС.15.376	Полимерные полы	Финишное устройство покрытий полимерных наливных полов "УРЕДУР 4000"	541,2	0	541,2	м2	0,18
191АС.18.389	Потолочные работы	Устройство из ГКЛ подвесных потолков: на одноуровневом металлическом каркасе 60х27 мм (Зоны без фальшпотолка)	45,3	0	45,3	м2	0,53
191АС.19.390	Внутренняя отделка	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7	0	428,7	м2	1,15
191АС.19.391	Внутренняя отделка	Штукатурка поверхностей внутри здания цементно-известковым или цементным раствором по камню и бетону простая стен	560	0	560	м2	0,65
191АС.19.392	Внутренняя отделка	Силикатная окраска водными составами внутри помещений по штукатурке стен (Выровненная площадь стен)	450	0	450	м2	0,129
191АС.19.393	Внутренняя отделка	Силикатная окраска водными составами внутри помещений по ГВЛВ перегородкам (Выровненная площадь стен)	388,5	0	388,5	м2	0,129
191АС.21.407	Устройство покрытий	Устройство оснований под тротуары из щебня толщиной 100 мм (Пересчитано из 100 м2)	280,7	0	280,7	м2	0,084
191АС.21.408	Устройство покрытий	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой смеси толщиной 3 см	224,5	0	224,5	м2	0,144
191АС.21.409	Устройство покрытий	На каждые 0,5 см изменения толщины асфальтобетонного покрытия добавлять к расценке 27-07-001-01	0	0	0	м2	0,0232
191АС.23.411	Промышленная АКЗ	Струйная очистка водой до степени Sа 2 1/2 в соответствии с ISO 8501-1:2007	129,55	0	129,55	м2	0,38
191АС.23.412	Промышленная АКЗ	Очистка поверхности металлоконструкций щетками вручную	3,32	0	3,32	м2	0,17
191АС.23.413	Промышленная АКЗ	Обеспыливание поверхности металлоконструкций перед грунтованием	132,87	0	132,87	м2	0,028
191АС.23.414	Промышленная АКЗ	Обезжиривание поверхностей металлоконструкций растворителями (Пересчитано из 100 м2)	132,9	0	132,9	м2	0,084
191АС.23.415	Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой грунтовкой "СпецПротект 007" 1 слой (60 мкм)	132,9	0	132,9	м2	0,12
191АС.23.416	Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (толщина 100 мкм)	132,9	0	132,9	м2	0,18
188-ТХ.4.458	Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	47	0	47	м2	0,396
188-ТХ.4.459	Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	68,73	0	68,73	м2	0,548
000-ИК1.7.581	Прочие работы	Установка и разборка наружных инвентарных лесов тубчатых высотой до 16 мм для прочих отделочных работ	844	0	844	м2	0,548
000-ТХ.4.822	Земляные работы. Разработка грунта	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых (ФДС/ГЭСН)	394	0	394	м2	0,312
190-ТХ.3.1075	Оборудование	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия	306,84	0	306,84	м2	0,843
190-ТХ.3.1076	Оборудование	Установка на люках и фланцевых соединениях кожухов изоцинкованноголиста толщ. 1мм ТЕР-2001 64	61,06	0	61,06	м2	1,24
190-ТХ.3.1077	Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для производства теплоизоляционных работ ТЕР-2001 64	252,31	0	252,31	м2	0,548
190-ТХ.3.1078	Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	172,54	0	172,54	м2	0,396
211.АС.1.1087	Монтаж - Прожекторная мачта ПМС-29,3 ( 211 по ГП)	Монтаж железобетонных конструкций: ригель РФ 3.0	0	0	0	м2	1,44
000.АС.1.1105	Земляные работы. Обратная засыпка. Эстакада. АС	Восстановление плодородного слоя толщ. 200мм. (14шт.х9м2)	126	0	126	м2	0,045
000.АС.1.1106	Земляные работы. Обратная засыпка. Эстакада. АС	Планировка грунта строительной площалки вручную (14шт.х9м2)	126	0	126	м2	0,102
000.АС.4.1111	Окраска	Пескоструйная очистка металлокнструкций	163	0	163	м2	0,38
000.АС.4.1112	Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119	163	0	163	м2	0,11
000.АС.4.1113	Окраска	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 в 2 слоя	163	0	163	м2	0,16
000.АС.6.1114	Фундаменты	"Восстановительный ремонт фундаментов при помощи ремонтных смесей (Отсутствие защитного слоя бетона) при помощи ремонтных смесей Emaco Nanocrete АР   (ремонтная смесь MAPEGROUT THIXOTROPIC)
- Ф1-13шт.х3м2 (0,5х4х1,5) =39м2
- Ф2-1шт.х3м2 (0,5х4х1,5) =3м2"	14	0	14	м2	1,02
000.АС.6.1115	Фундаменты	"Восстановительный ремонт подливок опорных площадок колонн
- Ф1-13шт.х0,25м2 (0,5х0,5) =3,25м2
- Ф2-1шт.х0,25м2 (0,5х0,5) =0,25м2"	3,5	0	3,5	м2	1,14
000.АС.6.1116	Фундаменты	Гидроизоляция боковая обмазочная битумная в 2 слоя по выравненной поверхности бетона	14	0	14	м2	0,39
000.АС1.4.1131	Леса. Эстакада	Установка и разборка наружных инвентарных лесов высотой до 16 м: трубчатых для прочих отделочных работ	102	0	102	м2	0,548
000.АС1.6.1142	Окраска. Эстакада. АС1	Окраска металлических огрунтованных поверхностей: эмалью ПФ-115	1600	0	1600	м2	0,103
000.АС1.6.1143	Окраска. Эстакада. АС1	Огрунтовка металлических поверхностей за один раз: грунтовкой ГФ-0119	1600	0	1600	м2	0,11
000.АС1.7.1148	Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	312	0	312	м2	0,39
000.АС10.3.1151	Окраска "арсет-газ". антикоррозийная защита металлоконструкций,эстакад.	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	300	0	300	м2	0,11
000.АС10.4.1153	Разработка грунта  эстакада	Устройство и уплотнение основания, вручную, Фм1 (2,0х2,0м.)	4	0	4	м2	0,031
000.АС10.5.1159	Фундаменты.  Эстакада	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	2,56	0	2,56	м2	0,034
000.АС10.5.1162	Фундаменты.  Эстакада	Гидроизоляция боковая обмазочная праймером Фм1 - 8,04м2	8,04	0	8,04	м2	0,034
000.АС10.5.1163	Фундаменты.  Эстакада	Гидроизоляция боковая обмазочная битумная в 2 слоя Фм1 - 8,04м2	8,04	0	8,04	м2	0,39
000.АС10.5.1164	Фундаменты.  Эстакада	Подливка под опору колонны фундамента Фм2 (0,36м2)	0,36	0	0,36	м2	0,28
000.АС11.2.1171	Металлические Конструкции	Уплотнение основания вручную	4	0	4	м2	0,031
000.АС11.2.1173	Металлические Конструкции	Уплотнение основания щебеночного вручную	4	0	4	м2	0,031
000.АС11.2.1174	Металлические Конструкции	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	4	0	4	м2	0,034
000.АС11.2.1177	Металлические Конструкции	Обмазочная гидроизоляция фундамента Ф1	10,62	0	10,62	м2	0,39
000.АС11.2.1178	Металлические Конструкции	Подливка под опору колонны фундамента Ф1	0,36	0	0,36	м2	0,28
000.АС11.2.1180	Металлические Конструкции	Восстановление плодородного слоя толщ. 200мм.	9	0	9	м2	0,045
000.АС11.2.1181	Металлические Конструкции	Планировка грунта строительной площалки вручную	9	0	9	м2	0,102
000.АС11.4.1187	Обратная Засыпка	Восстановление плодородного слоя толщ. 200мм.	57	0	57	м2	0,045
000.АС11.4.1188	Обратная Засыпка	Планировка грунта строительной площалки вручную	57	0	57	м2	0,102
000.АС11.5.1192	Разработка Грунта	Уплотнение основания вручную	81	0	81	м2	0,031
000.АС11.6.1194	Фундаменты	Уплотнение основания песчаного вручную	81	0	81	м2	0,031
000.АС11.6.1196	Фундаменты	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	73	0	73	м2	0,034
000.АС11.6.1198	Фундаменты	Уплотнение песчаного основания и обратной засыпки вручную	81	0	81	м2	0,031
000.АС3.4.1226	Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство изоляции слоем битумного праймера	63	0	63	м2	0,034
000.АС3.4.1227	Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство боковой обмазочной изоляции фундаментов горячим битумом  за 2 раза	63	0	63	м2	0,39
