"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=500 л/ч Р =160 кгс/см2. Коэффициент демонтажа К=О,7	2	0	2	шт	16,8
Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=10000 л/ч Р =10 кгс/см2 Коэффициент демонтажа К=О,7	1	0	1	шт	29,4
Дополнительные работы (демонтаж)	Демонтаж клапана регулирующего с элекгроприводом, фланцевого DN 25 PN 1,6 МПа.	1	0	1	шт	1,82
Дополнительные работы (демонтаж)	Демонтаж крана шарового с элекгроприводом, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,7	14	0	14	шт	1,82
Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,7	14	0	14	шт	2,45
Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 80 PN 1,6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	3,92
Дополнительные работы (демонтаж)	Демонтаж крана шарового с электроприводом, фланцевого DN 50 PN 1,6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	2,8
Дополнительные работы (демонтаж)	Клапан сбросной с ручным управлением DN 200 PN 0.6 МПа. Коэффициент демонтажа К=О,7	1	0	1	шт	4,55
Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением с концами под приварку DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	27	0	27	шт	0,83
Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 15 PN 1,6 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	0,53
Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,5	5	0	5	шт	0,59
Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	57	0	57	шт	0,83
Дополнительные работы (демонтаж)	Демонтаж крана шарового с ручным управлением, фланцевого DN 50 PN 16 МПа. Коэффициент демонтажа К=О,5	4	0	4	шт	0,95
Дополнительные работы (демонтаж)	Демонтаж затвора обратного поворотного, фланцевого DN 50 PN 4,0 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	1,18
Дополнительные работы (демонтаж)	Демонтаж клапана регулирующего с ручным  управлением, фланцевого DN 25 PN 1,6 МПа. Коэффициент демонтажа К=О,5	1	0	1	шт	0,59
Дополнительные работы (демонтаж)	Демонтаж капана обратного, фланцевого DN 25 PN 16 МПа. Коэффициент демонтажа К=О,5	14	0	14	шт	0,83
Дополнительные работы (демонтаж)	Демонтаж задвююш клиновой с ручным управлением, фланцевой DN 50 PN 1,6 МПа.Коэффициент демонтажа К=0,5	2	0	2	шт	0,91
Дополнительные работы (демонтаж)	Демонтаж задвижки клиновой с ручным управлением, фланцевой DN 80 PN 1,6 МПа. Коэффициент демонтажа К=0,5	3	0	3	шт	1,32
Монтаж оборудования	Клапан аварийный сбросной с ручным управлением Ду 200, климатическое исполнение У1 АСК 200-1,6 У1 ТУ 3742-043-96950580-2016 (Н=0м)	1	0	1	шт	6,5
Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 25 мм 	133	0	133	шт	1,18
Монтаж трубопроводов и арматуры	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 10 мм 	33	0	33	шт	0,84
Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 15 мм 	1	0	1	шт	1,06
Монтаж трубопроводов и арматуры	Арматура приварная/Арматура фланцевая с ручным приводом или без привода, диаметр условного прохода 80 мм 	4	0	4	шт	2,64
Монтаж трубопроводов и арматуры	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм 	8	0	8	шт	1,82
Монтаж оборудования	Монтаж аппарата горизонтального цельносварного с коническим неотбортованным днищем V-50м3 Ру0,07МПа, весом 7,675т 	3	0	3	шт	64,3
Монтаж арматуры и трубопроводов	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа. Диаметр условного прохода, мм 10 ТЕРм-2001 64	3	0	3	шт	0,92
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм ТЕРм-2001 64	6	0	6	шт	2,64
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	6	0	6	шт	1,82
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 100 мм ТЕРм-2001 64	6	0	6	шт	3,41
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 150 мм ТЕРм-2001 64	3	0	3	шт	5,12
Монтаж арматуры и трубопроводов	Монтаж клапана сбросного КС.000.00 ТЕРм-2001 64	1	0	1	шт	2,84
Демонтаж оборудования	Резервуар стальной горизонтальный лоя нефтепродуктов надземной установки с оборудованием V=50м3. 	3	0	3	шт	64,3
Демонтаж оборудования	Бачок мерный	1	0	1	шт	2,4
Демонтаж оборудования	Резервуар стальной горизонтаьный для нефтепродуктов надземной установки с оборудованием V=5м3	1	0	1	шт	34,1
Демонтаж арматуры вне здания на высоте	"Технологическая часть (Демонтаж)
Демонтаж трубопровода вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду 50"	1	0	1	шт	0,95
Демонтаж арматуры вне здания на высоте	"Технологическая часть (Демонтаж)
Демонтаж трубопровода вне здания на высоте Кран КСМ-35-3 Ду80"	1	0	1	шт	1,32
Монтаж арматуры и трубопроводов. тепловые сети т1, т2	Диамометр до 100м	3,4	0	3,4	10 шт	1,24
Монтаж арматуры и трубопроводов. тк1	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 10 мм ТЕРм-2001 64	1	0	1	шт	0,92
Монтаж арматуры и трубопроводов. тк1	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	1	0	1	шт	1,82
Монтаж оборудования. тк1	Арматура фланцевая с электрическим приводом на условное давление до 4 МПа, диаметр условного прохода 80 мм. 	1	0	1	шт	5,62
Прочие работы	Монтаж заземляющих устройств 	5,1	0	5,1	10 шт.	12,4
Монтаж арматуры и трубопроводов	Монтаж затвора обратного поворотного КОП 80-40 (19с53нж) Ду80мм Ру4МПа ТЕРм-2001 64	1	0	1	шт	2,64
Монтаж арматуры и трубопроводов	Монтаж задвижки клиновой фланцевой ЗКЛ2-80-16 (30с41нж) Ду80мм Ру1,6МПа ТЕРм-2001 64	1	0	1	шт	2,64
Монтаж арматуры и трубопроводов	Монтаж крана сферического Ду10мм Ру35МПа, КСМ-35-3 ТЕРм-2001 64	1	0	1	шт	1,02
Оборудование	Монтаж аппарата вертикального с эллиптическим днищем и съемной эллиптической крышкой, с гладкой приварной рубашкой V▒1м3 Ру 0,6МПа, масса оборудования 1,140т ТЕРм-2001 64	1	0	1	шт	16,4
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 25 мм ТЕРм-2001 64	26	0	26	шт	1,18
Монтаж арматуры и трубопроводов	Монтаж крана сферического Ду10мм Ру35МПа, КСМ-35-3 ТЕРм-2001 64	2	0	2	шт	1,02
Монтаж арматуры и трубопроводов	Демонтаж задвижки клиновой фланцевой ЗКЛ2-80-16 (30с41нж) Ду80мм Ру1,6МПа (по НЗС)	4	0	4	шт	1,32
Монтаж арматуры и трубопроводов	Монтаж задвижки клиновой фланцевой ЗКЛ2-80-16 (30с41нж) Ду80мм Ру1,6МПа ТЕРм-2001 64	4	0	4	шт	2,64
Монтаж арматуры и трубопроводов	Демонтаж -задвижка клиновая с выдвижным шпинделем на условное давление до 4 МПа, диаметр условного прохода 50 мм (по НЗС)	5	0	5	шт	0,91
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм (Задвижка клиновая с выдвижным шпинделем)	7	0	7	шт	1,82
Монтаж арматуры и трубопроводов	Демонтаж- кран сферический с переходником под приварку Ду10мм на условное давление до 4 МПа. Диаметр условного прохода, мм 10 (по НЗС)	2	0	2	шт	0,42
Монтаж арматуры и трубопроводов	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 4 МПа. Диаметр условного прохода, мм 10 (Кран сферический с переходником под приварку Ду10мм)	2	0	2	шт	0,84
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	2	0	2	шт	1,82
Монтаж арматуры и трубопроводов	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 4 МПа. Диаметр условного прохода, мм 10 ТЕРм-2001 64	2	0	2	шт	0,84
Монтаж арматуры и трубопроводов	Монтаж клапана сбросного ТЕРм-2001 64	2	0	2	шт	2,84
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 25 мм ТЕРм-2001 64	2	0	2	шт	1,18
Монтаж оборудования	Монтаж дегазатора нДЭГа (нТЭГа) 20Д-1 ГП 2588.12, масса  8,5т ТЕРм-2001 64	1	0	1	шт	68,4
Монтаж оборудования	Монтаж блока фильтров 20БФ-1 ГП 2588.14, масса  6,650т ТЕРм-2001 64	1	0	1	шт	54,2
Монтаж оборудования	Монтаж крана мостового ручного однобалочного подвесного во взрывобезопасном исполнении весом 1,470т ТЕРм-2001 64	1	0	1	шт	23,5
Монтаж оборудования	Монтаж блока емкости рефлюксной 20Е-1 ГП 2588.09, масса  4,350т ТЕРм-2001 64	2	0	2	шт	41,2
Монтаж оборудования	Монтаж блока емкости регенерированного ДЭГа (ТЭГа) 20Е-2 ГП 2588.10, масса  7,850т ТЕРм-2001 64	1	0	1	шт	64,3
Монтаж оборудования	Монтаж блока насосов орошения 20Н-1 ГП 2588.15, масса 1,5т ТЕРм-2001 64	2	0	2	шт	24
Монтаж оборудования	Монтаж блока горячих насосов 20Н-2 ГП 2588.16, масса 2,455т 	2	0	2	шт	24
Монтаж оборудования	Монтаж блока насоса подачи гликоля к абсорберам 20Н-3 ГП 2588.17, масса 2,180т	2	0	2	шт	24
Монтаж оборудования	Монтаж блока насоса подачи гликоля к абсорберам 20Н-4 ГП 2588.18, масса 3,930т 	2	0	2	шт	42
Монтаж оборудования	Монтаж клапана регулирующего РУСТ 510-1 У Ду50мм Ру1,6МПа  с пневмоприводом в комплекте с ответными фланцами, крепежом и прокладками. Комплектация по обосновывающему документу 4214.2.Р.04.КСПХГ.000.19	2	0	2	шт	4,52
Монтаж/демонтаж арматуры и трубопроводов	Демонтаж крана мостового однобалочного 5,0-11,4 Коэффициент демонтажа 0,7	1	0	1	шт.	16,45
Монтаж/демонтаж арматуры и трубопроводов	Установка пылеуловителей поз. ГП139	3	0	3	шт.	112
Оборудование	Монтаж емкости подземной дренажной V=40м3 со встроенным электронасосным агрегатом, масса оборудования 7,490т. 	1	0	1	шт	64,3
Монтаж арматуры и трубопроводов	Монтаж предохранителя огневого. Диаметр условного прохода, мм 100. Предохранитель огневой ПО-100 Ду100	1	0	1	шт	3,41
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 15 мм. Кран шаровой фланцевый КШ.Ф.015.16-00.00 Ру1,6МПа Ду15 	1	0	1	шт	1,06
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм Задвижка клиновая с выдвижным шпинделем фланцевая из стали 20Л, с ручн	1	0	1	шт	2,64
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм. Задвижка клиновая с выдвижным шпинделем фланцевая из стали 20Л	1	0	1	шт	1,82
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм Затвор обратный поворотный в комплекте с ответными фланцами, крепежом 	1	0	1	шт	2,64
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм. Кран шаровой фланцевый Ду50 Ру1,6МПа КШ.Ф.050.016-02.00 в комплекте с	1	0	1	шт	1,82
Монтаж арматуры и трубопроводов	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 4 МПа. Диаметр условного прохода, мм. Кран сферический с переходником под приварку Ду10мм Ру16МПа, КС2-10х16-	1	0	1	шт	0,84
Монтаж оборудования	Монтаж блока емкости дренажной 60Е-1, масса оборудования 20,5т. ТЕРм-2001 64	1	0	1	шт	94,6
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа. Диаметр условного прохода, мм 25 ТЕРм-2001 64	3	0	3	шт	1,18
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм ТЕРм-2001 64	1	0	1	шт	2,64
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 10 мм ТЕРм-2001 64	1	0	1	шт	0,84
Монтаж арматуры и трубопроводов	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм ТЕРм-2001 64	4	0	4	шт	2,64
Демонтажные работы	Демонтаж емкости приемно-дренажная V=25м3	1	0	1	шт	20,44
Демонтажные работы	Демонтаж блока регенерации гликоля, Q=10м3/час поз.ГП107, Коэффициент демонтажа 0,5. На открытой площадке. На высоте ниже 5м.	2	0	2	шт.	47,3
Демонтажные работы	Демонтаж аппарат воздушного охлаждения АВМ-Г-9-6-Бl-В/8-2-3, поз.ГП107. Коэффициент демонтажа 0,5. На открытой площадке. На высоте ниже 5м.	2	0	2	шт.	32,15
Демонтажные работы	Демонтаж аппарата 1-16-2000-0,8-1-2-2, поз. ГП107. Коэффициент демонтажа 0,5. На открытой площадке. На высоте ниже 5м	2	0	2	шт.	27,1
Демонтажные работы	Демонтаж подоrревателя 5-2000-3-1, поз.ГП107. Коэффициент демонтажа 0,5. На открытой площадке.На высоте ниже 5м	2	0	2	шт.	20,6
Демонтажные работы	Демонтаж дренажной ёмкости V=40м3, поз.ГП108. Коэффициент демонтажа 0,3. На открытой площадке.На высоте ниже 5м	1	0	1	шт.	19,29
Демонтажные работы	Демонтаж блок-бокса водокольцевых компрессоров, поз.ГП109. Коэффициент демонтажа 0,5. На  открытой площадке. На высоте ниже 5м.	1	0	1	шт.	41,2
Демонтажные работы	Демонтаж блок-бокса водокольцевых компрессоров, поз.ГПl 10. Коэффициент демонтажа 0,5. На открытой rmощадке. На высоте ниже 5м.	1	0	1	шт.	41,2
Демонтажные работы	Демонтаж блок-бокса насосной дЭГа Q=10м3/час, поз.ГП l 12. Коэффициент демонтажа 0,5. На открытой rmощадке. На высоте ниже 5м.	1	0	1	шт.	35,6
Демонтажные работы	Демонтаж блок-бокса насосной ДЭГа Q=10м3/час, поз.ГП 1 13. Коэффициент демонтажа 0,5. На открытой rmощадке. На высоте ниже 5м.	1	0	1	шт.	35,6
Монтаж арматуры и трубопроводов. тепловые сети т1, т2	Установка фасонных частей стальных сварных диаметром 100-250 	5,2	0	5,2	10 шт	68,4
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 25 мм. Монтаж арматуры на линиях межцеховых трубопроводов по эстакадам, крон	2	0	2	шт	1,18
Монтаж арматуры и трубопроводов. тк2	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 10 мм ТЕРм-2001 64	3	0	3	шт	0,92
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	4	0	4	шт	1,82
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 25 мм ТЕРм-2001 64	11	0	11	шт	1,54
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 15 мм ТЕРм-2001 64	10	0	10	шт	1,38
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 25 мм. Монтаж арматуры на линиях межцеховых трубопроводов по эстакадам, кро	10	0	10	шт	1,54
Монтаж арматуры и трубопроводов. тк2	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 10 мм ТЕРм-2001 64	2	0	2	шт	0,92
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм. Монтаж арматуры на линиях межцеховых трубопроводов по эстакадам, крон	8	0	8	шт	1,82
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 80 мм. Монтаж арматуры на линиях межцеховых трубопроводов по эстакадам, крон	2	0	2	шт	2,64
Монтаж арматуры и трубопроводов. тк2	Арматура фланцевая с ручным приводом или без привода водопроводная на условное давление до 4 МПа, диаметр условного прохода 50 мм ТЕРм-2001 64	11	0	11	шт	1,82
Монтаж арматуры и трубопроводов. тк2	Присоединение трубопровода у действующему трубопроводу, диаметр наружный присоединяемой трубы DN400	2	0	2	шт	11,4
Монтаж арматуры и трубопроводов. тк2	Присоединение трубопровода у действующему трубопроводу, диаметр наружный присоединяемой трубы DN80	1	0	1	шт	1,84
Монтаж арматуры и трубопроводов. тк2	Присоединение трубопровода у действующему трубопроводу, диаметр наружный присоединяемой трубы DN50	1	0	1	шт	1,38
Монтаж арматуры и трубопроводов. тк2	Присоединение трубопровода через тройник в действующий трубопровод DN 50	2	0	2	шт	1,38
Оборудование. тк2	Арматура фланцевая с электрическим приводом на условное давление до 10 МПа, диаметр условного прохода 80 мм. 	1	0	1	шт	6,45
Оборудование. тк2	Арматура фланцевая с электрическим приводом на условное давление до 4 МПа, диаметр условного прохода 80 мм.	2	0	2	шт	5,62
Оборудование. тк2	Арматура фланцевая с электрическим приводом на условное давление до 4 МПа, диаметр условного прохода 50 мм.	5	0	5	шт	4,12
Оборудование. тк2	Арматура фланцевая с электрическим приводом на условное давление до 10 МПа, диаметр условного прохода 50 мм. 	1	0	1	шт	4,85
Оборудование. тк2	Арматура приварная с ручным приводом или без привода водопроводная на условное давление до 10 МПа, диаметр условного прохода 400 мм. 	2	0	2	шт	16,4
Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте	Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду 50	2	0	2	шт	0,95
Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте	Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду50	2	0	2	шт	0,95
Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте	Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высотеКран КС2-10x16-с-1 Ду 50	1	0	1	шт	0,95
Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте	Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте Кран КС2-10x16-с-1 Ду 50	1	0	1	шт	0,95
Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высоте	Технологическая часть (Демонтаж) Демонтаж арматуры в теплоизоляции вне здания на высотеКран КС2-10x16-с-1 Ду 80	1	0	1	шт	1,32
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высотеКШ.Ш.010.160-00 Ду10	2	0	2	шт.	0,42
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высотеЗадвижка КЗК-50x2,5-сМЗК 30с15нжДу50	1	0	1	шт	0,95
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высотеЗадвижка КЗК-50x2,5-сМЗК 30с15нж Ду50	2	0	2	шт	0,95
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду50	1	0	1	шт	0,95
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высоте Задвижка КЗК-50x2,5-сМЗК 30с15нж Ду50	2	0	2	шт	0,95
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высотеЗадвижка КЗК-50x2,5 -сМЗК 30с15нж Ду50	2	0	2	шт	0,95
Технологическая часть Демонтаж арматуры вне здания на высоте	Технологическая часть Демонтаж арматуры вне здания на высотеЗадвижка КЗК-50x2,5-сМЗК 30с15нж  Ду50	1	0	1	шт	0,95
