"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (Ду108х4мм) ТЕР-2001 64	0,23	0	0,23	100 м	1,98
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (Ду159х5мм) ТЕР-2001 64	0,09	0	0,09	100 м	2,64
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (Ду219х7мм) ТЕР-2001 64	0,01	0	0,01	100 м	2,64
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,09	0	0,09	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,31	0	0,31	100 м	1,98
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,32	0	0,32	100 м	2,4
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 32,4	0,195	0	0,195	100 м	26
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 57x5	13,752	0	13,752	100 м	33
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 108x5	3,828	0	3,828	100 м	51
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 57x4	9,514	0	9,514	100 м	33
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 114x6	0,0111	0	0,0111	100 м	51
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 89x4	5,175	0	5,175	100 м	45
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 22x5	0,011	0	0,011	100 м	24
Монтаж арматуры и трубопроводов. тк1	Трубопровод из стальных труб с фланцами и сварными стыками на условное давление не более 2,5 МПа из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 18x4	0,007	0	0,007	100 м	24
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 89, толщина стенки 3 мм (Ду89	0,0382	0	0,0382	100 м	45
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду32х3мм) ТЕР-2001 64	0,04	0	0,04	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,37	0	0,37	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,29	0	0,29	100 м	2,1
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 12-14 мм ПРИМ. по факту 8х1мм	0,04	0	0,04	100 м	18,4
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 12-14 мм ПРИМ. по факту 12х1мм	0,02	0	0,02	100 м	18,4
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 18 мм 	0,02	0	0,02	100 м	24
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб  32 мм 	0,7433	0	0,7433	100 м	26
Монтаж арматуры и трубопроводов	Трубопровод  диаметр труб наружный 57 мм 	5,281	0	5,281	100 м	33
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 89 мм 	1,11	0	1,11	100 м	45
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 108 мм 	0,6684	0	0,6684	100 м	51
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 219 мм	0,0692	0	0,0692	100 м	96
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (Ду32х3мм) ТЕР-2001 64	0,04	0	0,04	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,07	0	0,07	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,12	0	0,12	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,05	0	0,05	100 м	2,4
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 200 мм (Ду159х6мм) ТЕР-2001 64	0,05	0	0,05	100 м	2,64
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 200 мм (Ду219х7мм) ТЕР-2001 64	0,02	0	0,02	100 м	3,12
Трубопроводы	Трубопровод, диаметр труб наружный 12-14 мм 	0,005	0	0,005	100 м	18,4
Трубопроводы	Трубопровод диаметр труб  32 мм 	0,06567	0	0,06567	100 м	26
Трубопроводы	Трубопровод  диаметр труб наружный 57 мм 	0,08636	0	0,08636	100 м	33
Трубопроводы	Трубопровод диаметр труб наружный 89 мм 	0,05	0	0,05	100 м	45
Трубопроводы	Трубопровод диаметр труб наружный 159 мм	0,05	0	0,05	100 м	74
Трубопроводы	Трубопровод диаметр труб наружный 219 мм	0,02	0	0,02	100 м	96
Трубопроводы	Трубопровод  диаметр труб наружный 57 мм 	0,11	0	0,11	100 м	33
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 159 мм 	0,003	0	0,003	100 м	74
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб  22 мм 	0,015	0	0,015	100 м	24
Монтаж арматуры и трубопроводов	Трубопровод  диаметр труб наружный 57 мм 	0,0356	0	0,0356	100 м	33
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 89 мм 	0,0302	0	0,0302	100 м	45
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 108 мм 	0,0946	0	0,0946	100 м	51
Монтаж подземных трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 25, толщина стенки 2 мм (22х3	0,015	0	0,015	100 м	24
Монтаж подземных трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 219, толщина стенки 6 мм (219	0,018	0	0,018	100 м	96
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 15 мм (Ду22х3мм) 	0,01	0	0,01	100 м	1,12
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 15 мм (Ду22х3мм)	0,02	0	0,02	100 м	1,12
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 50 мм (Ду57х4мм) 	0,015	0	0,015	100 м	1,58
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 50 мм (Ду22х3мм)	0,01	0	0,01	100 м	1,58
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 150 мм (Ду159х8мм)	0,002	0	0,002	100 м	2,42
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов низкого давления (до 0,07 МПа) условным диаметром до 200 мм (Ду219х7мм)	0,018	0	0,018	100 м	2,64
Испытании воздухом газопроводов	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 80 мм (Ду57х4мм)	0,025	0	0,025	100 м	2,4
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 12-14 мм 	0,005	0	0,005	100 м	18,4
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб  32 мм 	0,154	0	0,154	100 м	26
Монтаж арматуры и трубопроводов	Трубопровод  диаметр труб наружный 57 мм 	0,0765	0	0,0765	100 м	33
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 89 мм 	0,259	0	0,259	100 м	45
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 219 мм	0,02	0	0,02	100 м	96
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 89, толщина стенки 3 мм (89х4	0,0618	0	0,0618	100 м	45
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 50 мм (Ду14х2мм) ТЕР-2001 64	0,0005	0	0,0005	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду32х3мм) ТЕР-2001 64	0,135	0	0,135	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,218	0	0,218	100 м	1,98
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,05	0	0,05	100 м	2,4
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (Ду219х7мм) ТЕР-2001 64	0,02	0	0,02	100 м	2,64
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (57х4)	0,195	0	0,195	100 м	1,58
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (57х4)	0,062	0	0,062	100 м	2,1
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (89х4)	0,193	0	0,193	100 м	1,98
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 100 мм (89х4)	0,0424	0	0,0424	100 м	2,4
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (108х4)	1,325	0	1,325	100 м	1,98
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (159х6)	0,51	0	0,51	100 м	2,64
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (219х7)	1,396	0	1,396	100 м	2,64
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 600 мм (1020х16) 	0	0	0	100 м	6,45
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 400 мм	0,3	0	0,3	100 м	4,85
Дополнительное испытание на герметичность 	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 600 мм (1020х15)	0,55	0	0,55	100 м	6,45
Монтажные работы	Трубопровод  диаметр труб наружный 57 мм 	0,2576	0	0,2576	100 м	33
Монтажные работы	Трубопровод диаметр труб наружный 89 мм 	0,21998	0	0,21998	100 м	45
Монтажные работы	Трубопровод диаметр труб наружный 108 мм 	1,2209	0	1,2209	100 м	51
Монтажные работы	Трубопровод диаметр труб наружный 159 мм	0,51021	0	0,51021	100 м	74
Монтажные работы	Трубопровод диаметр труб наружный 219 мм толщина 7	1,6259	1,49	0,1359	100 м	96
Монтажные работы	Трубопровод диаметр труб наружный 219 мм толщина 12	1,5233	0	1,5233	100 м	104
Монтажные работы	Трубопровод  диаметр труб наружный 426 мм толщина 12	0,3	0	0,3	100 м	176
Монтажные работы	Трубопровод  диаметр труб наружный 426 мм толщина 22	2,91392	2,93	-0,01608	100 м	212
Монтажные работы	Трубопровод диаметр труб наружный 1020 мм	0,686	0,55	0,136	100 м	485
Монтажные работы	Укладка футляра 325х5 под трубу 219х12 (1.3/1)	0,43	0,36	0,07	100 м	118
Монтажные работы	Укладка футляра 219х7 под трубу 108х4 (Д43/1)	0,07	0	0,07	100 м	96
Монтажные работы	Укладка футляра 530x6 под трубу 	1,08	1,08	0	100 м	214
Монтажные работы	Укладка футляра 1220x12 под трубу 	0,06	0,06	0	100 м	562
Сопутствующие работы	Футеровка трубопроводов условным диаметром 300-1400 мм деревянными рейками (сплошная), условный диаметр: 300 мм	1,34	0	1,34	100 м	52,4
Сопутствующие работы	Протаскивание в футляр стальных труб диаметром 400 мм (426х22)	0,96	0,96	0	100 м	63,8
Сопутствующие работы	Протаскивание в футляр стальных труб диаметром 200 мм (219х7)	0,43	0,344	0,086	100 м	41,2
Сопутствующие работы	Протаскивание в футляр стальных труб диаметром 100 мм (108х4)	0,07	0	0,07	100 м	34,1
Сопутствующие работы	Футеровка трубопроводов условным диаметром 300-1400 мм деревянными рейками (сплошная), условный диаметр: 300 мм	0,19	0	0,19	100 м	52,4
Сопутствующие работы	Протаскивание в футляр стальных труб диаметром 1000 мм	0,06	0,06	0	100 м	185
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 159x6	0,088	0	0,088	100 м	74
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 108x4	0,193	0	0,193	100 м	51
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 219x7	1,76261	0	1,76261	100 м	96
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 57x4	22,562	0	22,562	100 м	33
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 32x4	0,168	0	0,168	100 м	26
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 89x4	3,68	0	3,68	100 м	45
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 32x3	0,05	0	0,05	100 м	26
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 57x5	1,547	0	1,547	100 м	33
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 108x5	1,2211	0	1,2211	100 м	51
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 14x3	0,04	0	0,04	100 м	18,4
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 462x22	0,929	0	0,929	100 м	212
Монтаж арматуры и трубопроводов. тк2	Трубопровод из стальных труб с фланцами и сварными стыками из труб и готовых деталей на эстакадах, кронштейнах и других специальных конструкциях, диаметр трубопровода 22x5	0,03	0	0,03	100 м	24
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (32х3) ТЕР-2001 64	0,04	0	0,04	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (57х4) ТЕР-2001 64	0,37	0	0,37	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 50 мм (57х4) ТЕР-2001 64	0,29	0	0,29	100 м	2,1
Монтаж трубопроводов и  арматуры	Трубопровод диаметр труб  32 мм 	0,2099	0	0,2099	100 м	26
Монтаж трубопроводов и  арматуры	Трубопровод  диаметр труб наружный 57 мм 	1,0801	0	1,0801	100 м	33
Монтаж трубопроводов и  арматуры	Трубопровод диаметр труб наружный 219 мм	0,131	0	0,131	100 м	96
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду32х3мм) ТЕР-2001 64	0,33	0	0,33	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 50 мм (Ду32х3мм) ТЕР-2001 64	0,07	0	0,07	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,026	0	0,026	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,66	0	0,66	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,41	0	0,41	100 м	1,98
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,22	0	0,22	100 м	2,4
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (Ду159х6мм) ТЕР-2001 64	0,065	0	0,065	100 м	2,64
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (Ду57х4мм) ТЕР-2001 64	0,05	0	0,05	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 100 мм (Ду89х4мм) ТЕР-2001 64	0,72	0	0,72	100 м	2,4
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 200 мм (Ду159х6мм) ТЕР-2001 64	0,035	0	0,035	100 м	3,12
Монтаж арматуры и трубопроводов	Трубопровод, диаметр труб наружный 12-14 мм 	0,02	0	0,02	100 м	18,4
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб  32 мм 	0,4503	0	0,4503	100 м	26
Монтаж арматуры и трубопроводов	Трубопровод  диаметр труб наружный 57 мм 	0,925	0	0,925	100 м	33
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 89 мм 	1,461	0	1,461	100 м	45
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 159 мм	0,1034	0	0,1034	100 м	74
Монтаж арматуры и трубопроводов	Трубопровод диаметр труб наружный 219 мм	0,3435	0	0,3435	100 м	96
Монтажные работы.  кабельные проводки	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг ТЕРм-2001 64	9,5	0	9,5	100 м	12,4
Монтажные работы.  кабельные проводки	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг ТЕРм-2001 64	6,11	0	6,11	100 м	11,4
Монтажные работы.  кабельные проводки	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг ТЕРм-2001 64	27,77	0	27,77	100 м	15,76
Монтажные работы.  кабельные проводки	Снятие с кабеля верхнего джутового покрова, масса 1 м кабеля до 9 кг ТЕРм-2001 64	0,8	0	0,8	100 м	4,56
Монтажные работы.  кабельные проводки	Профиль перфорированный монтажный длиной 2 м ТЕРм-2001 64	0,8	0	0,8	100 м	18,2
Монтажные работы.  кабельные проводки	Труба стальная во взрывоопасных и пожароопасных помещениях по установленным конструкциям, с креплением накладными скобами, диаметр до 25 мм ТЕРм-2001 64	7,28	0	7,28	100 м	84,5
Монтажные работы.  кабельные проводки	Затягивание провода в проложенные трубы и металлические рукава первого одножильного или многожильного в общей оплетке, суммарное сечение до 2,5 мм2 ТЕРм-2001 64	8	0	8	100 м	5,12
Монтажные работы	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям	0,0523	0	0,0523	100 м	45,6
Монтажные работы	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг	44,1	44,1	0	100 м	15,76
Монтажные работы	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	0,4	0,4	0	100 м	11,4
Монтажные работы	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг	44,1	14,7	29,4	100 м	15,76
Монтажные работы	Кабель до 35 кВ в проложенных трубах, блоках и коробах, масса 1 м кабеля до 1 кг	0,4	0	0,4	100 м	11,4
Монтаж кабельных линий. кспхг	Кабель до 35 кВ, прокладываемый по непроходным эстакадам, масса 1 м кабеля до 3 кг 	43	32,85	10,15	100 м	15,76
Монтаж кабельных линий. кспхг	Кабель до 35 кВ по установленным конструкциям и лоткам с креплением по всей длине, масса 1 м кабеля до 1 кг	14,2	0	14,2	100 м	12,4
Заземление. АТ 	Проводник заземляющий из медного изолированного провода сечением 25 мм2 открыто по строительным основаниям	1,89	0	1,89	100 м	45,6
Заземление. АТ 	Проводник заземляющий открыто по строительным основаниям из полосовой стали сечением 100 мм2	0,8	0	0,8	100 м	38,4
