"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Земляные работы	Обратная засыпка с уплотнением песком Ф2 - 7шт. (вдоль поз.193, поз.194)	35	0	35	м3	0,028
Земляные работы	Засыпка котлована под фундаменты Ф1 - 3шт. (усасток эстакады 5-6)	21,5	0	21,5	м3	0,028
Подготовительный этап	Разборка существующих кирпичных стен и перегородок	15	0	15	м3	3,61
Демонтажные работы	Разборка бетонных конструкций объемом более 1 м3 при помощи отбойных молотков (плиты Пм1, Пм2, площадки входов)	28,5	0	28,5	м3	3,04
Демонтажные работы	Демонтаж монолитной плиты пола ПМ2 в осях 4-10 под оборудование (высотная отметка +0.000мм)	11,37	0	11,37	м3	3,04
Демонтажные работы	Демонтаж монолитной плиты пола ПМ2 в осях 4-10 под оборудование (высотная отметка +0.100мм)	6,87	0	6,87	м3	3,04
Демонтажные работы	Демонтаж монолитной плиты пола ПМ2 в осях 4-10 под оборудование (высотная отметка +0.150мм)	2,56	0	2,56	м3	3,04
Демонтажные работы	Демонтаж существующей бетонной подливки стоек противопожарной перегородки (Выделено из комплексной расценки)	3	0	3	м3	6,52
Земляные работы	Устройство подстилающих и выравнивающих слоев оснований под тротуары: из песка	22,5	0	22,5	м3	0,95
Земляные работы	Устройство основания под фундаменты лестниц: песчаного	0,86	0	0,86	м3	0,95
Фундаментные работы	Устройство бетонной подготовки В7,5 под фундаменты лестниц и площадок	0,4	0	0,4	м3	1,37
Фундаментные работы	Устройство новой бетонной подливки стоек противопожарной перегородки по РД	3	0	3	м3	4,62
Фундаментные работы	Устройство ленточных фундаментов бетонных под опорные элементы	1,1	0	1,1	м3	3,61
Фундаментные работы	Устройство бетонных фундаментов общего назначения под колонны объемом до 3 м3	5,1	0	5,1	м3	4,22
Ограждающие конструкции	Кладка стен кирпичных наружных простых при высоте этажа до 4 м	120	0	120	м3	4,43
Ограждающие конструкции	Ремонт кирпичной кладки с разборкой и заменой поврежденных кирпичей (цокольная часть)	15	0	15	м3	9,62
Ограждающие конструкции	Разборка кирпичной кладки для выполнения работ по монтажу оборудования внутри здания (цоколь ось 10/Б-В)	4,1	0	4,1	м3	2,34
Кровельный этап	Устройство монолитных участков при сборном ж/б перекрытии площадью до 5 м2 толщиной до 100 мм	0,5	0	0,5	м3	5,12
Кровельный этап	Устройство керамзитобетонной подготовки (выравнивающий и звукоизоляционный слой перекрытия)	0,4	0	0,4	м3	1,38
Кровельный этап	Утепление узлов примыкания кровельного ковра минераловатными плитами	6,99	0	6,99	м3	1,32
Кровельный этап	Зачеканка монтажных отверстий и проходов кровли просмоленной паклей	0,12	0	0,12	м3	6,82
Кровельный этап	Утепление примыканий парапетов плитами из минеральной ваты	0,1	0	0,1	м3	1,32
Полы (Основание)	Устройство подстилающих слоев бетонных под покрытия (Плита основания)	4,19	0	4,19	м3	1,37
Полы (Основание)	Устройство подстилающих слоев бетонных из бетона В7,5	7,62	0	7,62	м3	1,37
Полы (Основание)	Устройство подстилающих слоев бетонных из бетона В22,5 толщиной 100 мм	1,28	0	1,28	м3	1,37
Полы (Основание)	Устройство подстилающих слоев бетонных из бетона В22,5 толщиной 120 мм	6,39	0	6,39	м3	1,37
Полы (Основание)	Устройство подстилающих слоев бетонных из бетона В22,5 переменной толщины 35-115 мм (Выравнивание)	40,59	0	40,59	м3	1,58
Полы (Отделка)	Устройство монолитных бетонных бортиков В7,5 (Пересчитано в кубические метры)	2,6	0	2,6	м3	4,62
Устройство покрытий	Устройство бетонных пандусов (Пересчитано в базовые кубические метры)	4	0	4	м3	4,62
Устройство покрытий	Устройство подстилающих и выравнивающих слоев оснований из песка (Пересчитано из 100 м3)	22,5	0	22,5	м3	0,95
Стены и перегородки	Утепление узлов примыкания минераловатными плитами	0,2	0	0,2	м3	1,32
Земляные работы. Обратная засыпка грунта	Присыпка труб вручную, группа грунта 1	2,17	0	2,17	100 м3	52,4
Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей вручную, группа грунта 2	2,7	0	2,7	100 м3	168
Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3	0,651	0	0,651	1000 м3	0
Земляные работы. Обратная засыпка грунта	Присыпка труб вручную, группа грунта 2 	0,43	0	0,43	100 м3	63,8
Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей вручную, группа грунта 2 	2,69	0	2,69	100 м3	168
Земляные работы. Обратная засыпка грунта	Обратная засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3 	0,5	0	0,5	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,844	0	0,844	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3	2,7	0	2,7	100 м3	185
Земляные работы. Разработка грунта	Доработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3	0,26	0	0,26	100 м3	212
Земляные работы. Разработка грунта	Рытье приямков вручную, группа грунта 4	0,11	0	0,11	100 м3	324
Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 2	0,002	0	0,002	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами «драглайн» или «обратная лопата» с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,546	0	0,546	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений, группа грунтов 3	2,69	0	2,69	100 м3	268
Земляные работы. Разработка грунта	Разработка грунта в траншеях и котлованах глубиной более 3 м вручную с подъемом краном при наличии креплений, группа грунтов 3. ПРИМ	0,17	0	0,17	100 м3	268
Земляные работы. Разработка грунта	Рытье приямков вручную, группа грунта 3 	0,08	0	0,08	100 м3	234
Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 2	0,02	0	0,02	1000 м3	0
Земляные работы. Разработка грунта	Работа на отвале, группа грунтов 2-3	0,02	0	0,02	1000 м3	0
Оборудование	Изоляция оборудования и трубопроводов, обертка пленкой, стекловолокном, уст опорных колец, окраска, установка проволочного каркаса и штырей.	27,341	0	27,341	м3	12,4
Оборудование	Изоляция аппаратов шнуром теплоизоляционным энергетическим марки 150 в оплетке из стеклоровинга ТЕР-2001 64	0,072	0	0,072	м3	18,2
Оборудование	Изоляция люков и фланцевых соединений матрацами из матов теплоизоляционных "ТЕХ МАТ" ТЕР-2001 64	2,804	0	2,804	м3	35,6
Демонтаж - Прожекторная мачта ПМС-29,3 ( 211 по ГП)	Демонтаж покрытий из мелкозернистого асфальтобетона	0	0	0	м3	0,12
Демонтаж - Прожекторная мачта ПМС-29,3 ( 211 по ГП)	Демонтаж железобетонных конструкций (ригель РФ 3.0)	0	0	0	м3	3,61
Земляные работы. Обратная засыпка. Эстакада. АС	"Обратная засыпка грунтом с уплотнением
- Ф1-13шт.х2м3 (2х2х0,5) =26м3
- Ф2-1шт.х2м3 (2х2х0,5) =2м3"	28	0	28	м3	9,42
Земляные работы. Разработка грунта	"Разработка грунта вокруг фундаментов на глубину 0,5м., для ремонта поверхности бетона
- Ф1-13шт.х2м3 (2х2х0,5) =26м3
- Ф2-1шт.х2м3 (2х2х0,5) =2м3"	28	0	28	м3	1,38
Земляные работы. Обратная засыпка	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 	4,09	0	4,09	100 м3	16,4
Земляные работы. Обратная засыпка	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	0,1	0	0,1	100 м3	194
Земляные работы. Обратная засыпка	При перемещении грунта на каждые последующие 5 м добавлять к расценке 01-01-034-02	0,409	0	0,409	1000 м3	0
Земляные работы. Обратная засыпка	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2	0,409	0	0,409	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 2	0,064	0	0,064	1000 м3	0
Земляные работы. Разработка грунта	Работа на отвале, группа грунтов 2-3	0,064	0	0,064	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами <драглайн> или <обратная лопата> с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 2	0,402	0	0,402	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта в отвал экскаваторами <драглайн> или <обратная лопата> с ковшом вместимостью 0,4 (0,3-0,45) м3, группа грунтов 3	0,006	0	0,006	1000 м3	0
Земляные работы. Разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3	0,11	0	0,11	100 м3	185
Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Устройство бетонной подготовки из бетона В7,5 толщиной 100мм	0,095	0	0,095	100 м3	137
Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Устройство фундамента из монолитного бетона кл В12,5, F75, W4, на сульфатостойком портландцементе, объемом до 3м3	0,515	0	0,515	100 м3	422
Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Устройство фундамента из монолитного бетона кл В12,5, F75, W4, на сульфатостойком портландцементе, объемом до 5м3	0,08	0	0,08	100 м3	362
Обратная засыпка. эстакада	Обратная засыпка с уплотнением песком	6,894	0	6,894	м3	0,028
Разработка грунта  эстакада	Разработка котлована Фм1 (2,0х2,0х2,1м.,h, V=8м3)	8	0	8	м3	0,045
Разработка грунта  эстакада	Работа на отвале, группа грунтов 2-3	0,0405	0	0,0405	1000 м3	0
Разработка грунта  эстакада	Доработка грунта 3 группы вручную в траншеях	0,21	0	0,21	100 м3	212
Разработка грунта  эстакада	Работа на отвале, группа грунтов 2-3	0,0369	0	0,0369	1000 м3	0
Разработка грунта  эстакада	Уплотнение естественного основания перед монтажом фундаментов	0,65	0	0,65	100 м3	16,4
Фундаменты.  Эстакада	Устройство щебеночного основания толщ.100мм. под подбетонку (1,6х1,6м.)	0,256	0	0,256	м3	1,22
Фундаменты.  Эстакада	Устройство бетонной подготовки толщ.100мм. под фундаменты  (1,4х1,4м.)	1,2	0	1,2	м3	1,37
Фундаменты.  Эстакада	Изготовление и монтаж фундаментов Фм1 - 1,05м3	1,05	0	1,05	м3	4,22
Металлические Конструкции	Разработка котлована под фундамент Ф1 экскаватором с вывозом (участок эстакады АС11)	8,4	0	8,4	м3	0,045
Металлические Конструкции	Разработка котлована под фундамент Ф1 вручную (2.0х2.0м.)	0,84	0	0,84	м3	16,8
Металлические Конструкции	Устройство основания щебеночного толщ. 100мм. (2.0х2.0м.)	0,4	0	0,4	м3	1,22
Металлические Конструкции	Изготовление подбетонки толщ. 100мм. (1,4х1,4м.)	0,22	0	0,22	м3	1,37
Металлические Конструкции	Изготовление и монтаж ж/б фундамента Ф1	1,25	0	1,25	м3	4,22
Металлические Конструкции	Обратная засыпка с уплотнением песком	7,15	0	7,15	м3	0,028
Разработка Грунта	Снятия плодородного слоя толщиной 150 мм с вывоозом 500 м для разработки котлована  под фундамент (поз.228)	8	0	8	м3	0
Разработка Грунта	Разработка котлована под фундамент б/бокс ЭХЗ экскаватором с вывозом (поз.228 по ГП)	61	0	61	м3	0
Разработка Грунта	Разработка котлована под фундамент б/бокс ЭХЗ вручную (9.0х9.0м.)	6	0	6	м3	16,8
Фундаменты	Устройство основания песчаного толщ. 100мм. (9.0х9.0м.)	8,1	0	8,1	м3	0,95
Фундаменты	Устройство теплозащитного экрана, монтаж пеноплекс Ф толщ. 150мм.(8.0х8.0м.)	9,6	0	9,6	м3	1,14
Фундаменты	Устройство уплотненной подготовки из непучинистого грунта, основания песчаного толщ. 310мм. (9.0х9.0м.), площадь под площадку и обратная засыпка снаружи по периметру бордюра	25,11	0	25,11	м3	0,95
Фундаменты	Устройство песчано-цементной смеси толщ. 100мм. (6,0х6,0м)	3,6	0	3,6	м3	1,18
Фундаменты	Устройство бетонной подготовки из бетона В15 толщиной 100 мм под бортовой камень	0,6	0	0,6	м3	1,37
Земляные работы Обратная засыпка грунта	Работа на отвале, группа грунтов 1	0,051	0	0,051	1000 м3	0
Земляные работы Обратная засыпка грунта	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 	1,01	0	1,01	100 м3	16,4
Земляные работы Обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1	0,03	0	0,03	100 м3	138
Земляные работы Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-034-2 ТЕР 64	0,101	0	0,101	1000 м3	0
Земляные работы Обратная засыпка грунта	Обратная засыпка котлованов с перемещением грунта до 5 м (общее 10м) бульдозерами мощностью 130 л.с., 2 группа грунтов ТЕР 64	0,101	0	0,101	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 м3, группа грунтов 1 ТЕР 64	0,051	0	0,051	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта в отвал экскаваторами "драглайн" или "обратная лопата" с ковшом вместимостью 0,4 м3, группа грунтов 3	0,099	0	0,099	1000 м3	0
Земляные работы Разработка грунта	Доработка дна котлована глубиной более 3 м вручную с подъемом краном при наличии креплений, группа грунтов 3	0,03	0	0,03	100 м3	268
Земляные работы Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 	0,002	0	0,002	1000 м3	0
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство бетонной подготовки из бетона кл В7,5,толщ.100мм	0,023	0	0,023	100 м3	137
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство стяжки из бетонна кл.В3,5: толщиной 300 мм 	0,027	0	0,027	100 м3	137
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство стен и плоских днищ из бетона кл В15, при толщине более 150 мм прямоугольных сооружений 	0,1872	0	0,1872	100 м3	412
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Установка круглых сборных ж/б колец,диаметром до 1000 мм 	0,0028	0	0,0028	100 м3	234
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Устройство основания под фундаменты песчаного	0,23	0	0,23	м3	0,95
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Установка круглых сборных ж/б колец,диаметром до 1000 мм 	0	0	0	100 м3	234
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Установка круглых сборных ж/б колец,диаметром более 1000 мм	0,0096	0	0,0096	100 м3	185
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Установка сборных железобетонных плит перекрытия марки ПП10-1,ПН10 	0,0028	0	0,0028	100 м3	118
Монолитная ж/б тепловая камера на с/стойком цементе F150,W4	Заделка отверстия,бетоном В15 на мелком заполнителе 	0,01	0	0,01	м3	34,1
Свайное основание	Заполнение бетоном полых свай и свай-оболочек диаметром до 80 см ТЕР-2001 64	0,88	0	0,88	м3	0,84
Бетонные ж/б конструкции	Устройство бетонной подготовки	0,05	0	0,05	100 м3	137
Бетонные ж/б конструкции	Устройство железобетонных фундаментов общего назначения объемом до 5 м3	0,329	0	0,329	100 м3	362
Бетонные ж/б конструкции	Устройство железобетонных фундаментов общего назначения объемом до 25 м3	0,066	0	0,066	100 м3	284
Земляные работы Обратная засыпка грунта	Уплотнение грунта пневматическими трамбовками, группа грунтов 1-2 	10,25	0	10,25	100 м3	16,4
Земляные работы Обратная засыпка грунта	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 1	0,26	0	0,26	100 м3	138
Земляные работы Обратная засыпка грунта	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-034-2 ТЕР-2001 64	1,025	0	1,025	1000 м3	0
Земляные работы Обратная засыпка грунта	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 (130) кВт (л.с.), 2 группа грунтов ТЕР-2001 64	1,025	0	1,025	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов 1	0,988	0	0,988	1000 м3	0
Земляные работы Разработка грунта	Работа на отвале, группа грунтов 2-3	0,988	0	0,988	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов 3	0,08	0	0,08	1000 м3	0
Земляные работы Разработка грунта	Работа на отвале, группа грунтов 2-3	0,08	0	0,08	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3	0,27	0	0,27	100 м3	185
Земляные работы Разработка грунта	Погруза грунта в а/м самосвалы вручную 	0,27	0	0,27	100 м3	62
Земляные работы Разработка грунта	Работа на отвале, группа грунтов 2-3	0,027	0	0,027	1000 м3	0
Земляные работы Разработка грунта	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1	1,051	0	1,051	1000 м3	0
Разработка грунта  эстакада	"Разработка грунта вокруг фундаментов на глубину 0,5м., вручную, для ремонта поверхности бетона
- Фм1-14шт.х2м3 (2х2х0,5) =28м3
- Фм2-33шт.х2м3 (2х2х0,5) =66м3
- Фм3-1шт.х2м3 (2х2х0,5) =2м3
- Фм4-17шт.х2м3 (2х2х0,5) =34м3
- Фм4а-8шт.х2м3 (2х2х0,5) =16м3
- Фм5-1шт.х2м3 (2х2х0,5) =2м3
- Фм6-6шт.х2м3 (2х2х0,5) =12м3
- Фм7-2шт.х2м3 (2х2х0,5) =4м3
- Фм8-3шт.х2м3 (2х2х0,5) =6м3"	0,21	0,21	0	м3	1,38
Разработка грунта  эстакада	Обратная засыпка грунтом с уплотнением вокруг фундаментов вручную - Фм1-14шт., Фм2-33шт., Фм3-1шт., Фм4-17шт., Фм4а-8шт., Фм5-1шт., - Фм6-6шт., Фм7-2шт., Фм8-3шт	0,0369	0,0369	0	м3	2,04
Фундаменты эстакада	Устройство бетонной подготовки под фундаменты из бетона В7,5	0	0	0	100 м3	137
Фундаменты эстакада	Устройство монолитных железобетонных фундаментов из бетона класса В15, объемом до 3 м3	0,07	0,07	0	100 м3	422
Фундаменты эстакада	Разработка грунта 	0,722	0,0517	0,6703	1000 м3	0
Фундаменты эстакада	Разработка грунта с погрузкой на автомобили-самосвалы	0,043	0	0,043	1000 м3	0
Фундаменты эстакада	Разработка грунта вручную	0,229	0,02271	0,20629	100 м3	185
Фундаменты эстакада	Уплотнение грунта основания	0,18	0,086	0,094	100 м3	16,4
Фундаменты эстакада	Обратная засыпка грунта	0,681	0,077	0,604	1000 м3	0
Фундаменты эстакада	Обратная засыпка грунта вручную	0,21	0,0201	0,1899	100 м3	194
Фундаменты эстакада	Послойное уплотнение при засыпке	0,702	0,458	0,244	100 м3	16,4
Фундаменты эстакада	Вывоз лишнего грунта на расстояние 5 км	46,92	0	46,92	м3	0
Фундаменты эстакада	Устройство щебеночной подготовки	5,89	2,3	3,59	м3	1,22
Земляные работы. кспхг	Разработка грунта с погрузкой в автомобили-самосвалы экскаваторами типа "ATLAS", "VOLVO", "KOMATSU", "HITACHI", "LIEBHER" с ковшом вместимостью 1,0 (1-1,2) м3, группа грунтов 1	8,573	0	8,573	1000 м3	0
Земляные работы. кспхг	Работа на отвале, группа грунтов 1	8,573	0	8,573	1000 м3	0
Земляные работы. кспхг	Разработка грунта с перемещением до 10 м бульдозерами мощностью 79 кВт (108 л.с.), группа грунтов 2 (выемки с перемещением в нвсыпь до 20м)	0,254	0	0,254	1000 м3	0
Земляные работы. кспхг	При перемещении грунта на каждые последующие 10 м добавлять к норме 01-01-030-06	0,254	0	0,254	1000 м3	0
Уплотнение гурнта. кспхг	Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 25см  (за 6 проходов)	13,128	0	13,128	1000 м3	0
Демонтажные работы. кспхг	Разборка покрытий и оснований асфальтобетонных 	2,64	0	2,64	100 м3	0
Проезды (0,5122га). КСПХГ	Разработка грунта с перемещением до 10 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2	2,832	0,85	1,982	1000 м3	0
Проезды (0,5122га). КСПХГ	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2 (до 50м)	0,373	0	0,373	1000 м3	0
Проезды (0,5122га). КСПХГ	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-033-02	0,373	0	0,373	1000 м3	0
Проезды (0,5122га). КСПХГ	Устройство подстилающих и выравнивающих слоев оснований из песка  толщ.0,15м	9,083	0	9,083	100 м3	9,5
Проезды (0,5122га). КСПХГ	Перемещение грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2	0,36554	0	0,36554	1000 м3	0
Проезды (0,5122га). КСПХГ	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-033-02	0,36554	0	0,36554	1000 м3	0
Проезды (0,5122га). КСПХГ	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	0,0746	0	0,0746	100 м3	194
Пешеходные дорожки (0,0391га). кспхг	Разработка грунта в траншеях экскаватором "обратная лопата" с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 (устройство корыта)	0,067	0	0,067	1000 м3	0
Пешеходные дорожки (0,0391га). кспхг	Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2	0,27	0	0,27	100 м3	194
Пешеходные дорожки (0,0391га). кспхг	Перемещение грунта до 5 м бульдозерами мощностью 79 (108) кВт (л.с.), 2 группа грунтов (10м)	0,017	0	0,017	1000 м3	0
Пешеходные дорожки (0,0391га). кспхг	При перемещении грунта на каждые последующие 5 м добавлять к норме 01-01-033-05	0,017	0	0,017	1000 м3	0
Земляные работы. инженерная защита. кспхг	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1	0,133	0	0,133	1000 м3	0
Земляные работы. озеленение. кспхг	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 1	1,2	0	1,2	1000 м3	0
Земляные работы. озеленение. кспхг	Разработка грунта с перемещением до 10 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 2	1,2	0	1,2	1000 м3	0
Посев. озеленение. кспхг	При перемещении грунта на каждые последующие 10 м добавлять к норме 01-01-031-02	1,2	0	1,2	1000 м3	0
Земляные работы. Разработка грунта. НВК. В1	Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 3 м, группа грунтов 2	2,29	0	2,29	100 м3	212
Земляные работы. Разработка грунта. НВК. В1	Рытье приямков вручную, группа грунтов 2	0,02	0	0,02	100 м3	168
Земляные работы. Разработка грунта. НВК. В1	Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 1	0,009	0	0,009	1000 м3	0
Земляные работы. Разработка грунта. НВК. В1	Работа на отвале, группа грунтов 1	0,009	0	0,009	1000 м3	0
