"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.
Защита кабелей.  эстакада	Нащельники из ОЦ толщиной 0,6 мм	112,5	93	19,5	м2
Прочие работы.  эстакада	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м	10000	0	10000	м2
ОКРАСКА "АРСЕТ-ГАЗ". АКЗ металлоконструкций, эстакад	пескоструйная очистка металлоконструкций эстакады АС9	854,6	780	74,6	м2
ОКРАСКА "АРСЕТ-ГАЗ". АКЗ металлоконструкций, эстакад	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG толщиной 80 мкм	854,6	780	74,6	м2
ОКРАСКА "АРСЕТ-ГАЗ". АКЗ металлоконструкций, эстакад	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG толщиной 150 мкм	854,6	780	74,6	м2
ОКРАСКА "АРСЕТ-ГАЗ". АКЗ металлоконструкций, эстакад	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	85460	78000	7460	м2
Фундаменты эстакада	Устройство изоляции слоем битумного праймера	0	0	0	м2
Фундаменты эстакада	Гидроизоляция ж/б фундаментов горячим битумом за 2 раза	32	25,58	6,42	м2
Защита кабелей.  эстакада	Монтаж козырька из профлиста	1754	0	1754	м2
Защита кабелей.  эстакада	Нащельники из ОЦ толщиной 0,6 мм ст СТ 3 кп ГОСТ 14918-80	181,5	0	181,5	м2
ОКРАСКА "АРСЕТ-ГАЗ"	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG толщиной 80 мкм	300	0	300	м2
ОКРАСКА "АРСЕТ-ГАЗ"	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG толщиной 150 мкм	300	0	300	м2
ОКРАСКА "АРСЕТ-ГАЗ"	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	300	0	300	м2
Земляные работы. кспхг	Планировка откосов и полотна насыпей механизированным способом, группа грунтов 2	16589	345	16244	м2
Земляные работы. кспхг	Планировка откосов: насыпей экскаватором-планировщиком, группа грунтов 1 (ФДС/ГЭСН)	729	0	729	м2
Земляные работы. кспхг	Планировка откосов: насыпей экскаватором-планировщиком, группа грунтов 1 (ФДС/ГЭСН)	93	0	93	м2
Проезды (0,5122га). КСПХГ	Устройство оснований толщиной 15 см из щебня фракции 40-70 мм при укатке каменных материалов с пределом прочности на сжатие свыше 68,6 до 98,1 МПа (свыше 700 до 1000 кгс/см2) нижнего слоя двухслойных	5350	160	5190	м2
Проезды (0,5122га). КСПХГ	Устройство основания из черного щебня толщиной 6 см с плотностью каменных материалов 3 т/м3 и более	4952	0	4952	м2
Проезды (0,5122га). КСПХГ	Устройство покрытия толщиной 4 см из горячих асфальтобетонных смесей плотных крупнозернинистых типа АБ, плотность каменных материалов 3 т/м3 и более	4952	0	4952	м2
Проезды (0,5122га). КСПХГ	На каждые 0,5 см изменения толщины покрытия добавлять или исключать к норме 27-06-020-04	4952	0	4952	м2
Проезды (0,5122га). КСПХГ	Устройство покрытия толщиной 4 см из горячих асфальтобетонных смесей плотных крупнозернинистых типа АБ, плотность каменных материалов 3 т/м3 и более	5122	0	5122	м2
Пешеходные дорожки (0,0391га). кспхг	Устройство оснований толщиной 12 см под тротуары из кирпичного или известнякового щебня	391	0	391	м2
Пешеходные дорожки (0,0391га). кспхг	На каждый 1 см изменения толщины оснований добавлять или исключать к норме 27-07-002-01	391	0	391	м2
Пешеходные дорожки (0,0391га). кспхг	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой мелкозернистой асфальто-бетонной смеси толщиной 3 см	391	0	391	м2
Земляные работы. инженерная защита. кспхг	Укрепление откосов земляных сооружений посевом многолетних трав: механизированным способом 	885	0	885	м2
Земляные работы. Разработка грунта. НВК. В1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	426	0	426	м2
Земляные работы	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	138	100	38	м2
Земляные работы. Разработка грунта. В2. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	230	138	92	м2
Земляные работы. Разработка грунта. В7. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	154	154	0	м2
Земляные работы. Разработка грунта. В7. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	286	286	0	м2
Земляные работы. Разработка грунта. К1. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	163	0	163	м2
Земляные работы. Разработка грунта. К17. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	42	42	0	м2
Земляные работы. Разработка грунта. К29. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	43	43	0	м2
Земляные работы. Разработка грунта. К3. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	126	0	126	м2
Земляные работы. Разработка грунта. К4. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	230	0	230	м2
Земляные работы. Разработка грунта. К4Н. НВК1	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых	54	0	54	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в1	Изоляция трубопроводов рулонами из вспененного каучука	8,796	0	8,796	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в1	Покрытие поверхности изоляции трубопроводов сталью оцинкованной	8,83	0	8,83	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в1	Окраска опознавательных колец за два раза	0,44	0	0,44	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в2	Изоляция трубопроводов рулонами из вспененного каучука	1,437	0	1,437	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в2	Покрытие поверхности изоляции трубопроводов сталью оцинкованной	1,45	0	1,45	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в2	Окраска опознавательных колец за два раза	0,07	0	0,07	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в7	Изоляция трубопроводов рулонами из вспененного каучука	26,452	0	26,452	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в7	Покрытие поверхности изоляции трубопроводов сталью оцинкованной	14,26	0	14,26	м2
Теплоизоляционные работы. водопровод производственно-противопожарный в7	Окраска опознавательных колец за два раза	0,71	0	0,71	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Очистка поверхности щетками	29,15	0	29,15	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Обеспыливание поверхности (входит в норму окраски)	29,15	0	29,15	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	17,59	0	17,59	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Обезжиривание поверхностей аппаратов и трубопроводов диаметром свыше 500 мм уайт-спиритом (норма ГЭСН)	11,56	0	11,56	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм)	29,15	0	29,15	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз	29,15	0	29,15	м2
Окраска по технологии ООО "УРБАНСТРОЙ"	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 ра	29,15	0	29,15	м2
ОКРАСКА "АРМОКОТ". Тепловые сети Т1, Т2	Шлифовка поверхностей	76,6	0	76,6	м2
ОКРАСКА "АРМОКОТ". Тепловые сети Т1, Т2	Обеспыливание поверхности (входит в норму окраски)	76,6	0	76,6	м2
ОКРАСКА "АРМОКОТ". Тепловые сети Т1, Т2	Обезжиривание поверхности	76,6	0	76,6	м2
ОКРАСКА "АРМОКОТ". Тепловые сети Т1, Т2	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя 	85,65	0	85,65	м2
ОКРАСКА. ТК1	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя (арматуры) ТЕР-2001 64	5,2	0	5,2	м2
ОКРАСКА. ТК1	Шлифовка поверхностей	170,14	0	170,14	м2
ОКРАСКА. ТК1	Обеспыливание поверхности 	170,14	0	170,14	м2
ОКРАСКА. ТК1	Обезжиривание поверхности	170,14	0	170,14	м2
ОКРАСКА. ТК1	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	170,14	0	170,14	м2
ОКРАСКА. ТК1	Шлифовка поверхностей 	507,29	0	507,29	м2
ОКРАСКА. ТК1	Обеспыливание поверхности 	507,29	0	507,29	м2
ОКРАСКА. ТК1	Обезжиривание поверхности	507,29	0	507,29	м2
ОКРАСКА. ТК1	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	507,29	0	507,29	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция трубопроводов рулонами из вспененного каучука 	137,349	0	137,349	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция арматуры и фланцевых соединений рулоном теплоизоляционным из вспененного каучука 	3,06	0	3,06	м2
Теплоизоляционные работы. тепловые сети т1, т2	Покрытие поверхности изоляции трубопроводов сталью оцинкованной ТЕР-2001 64	148,14	0	148,14	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изготовление и установка на арматуре и фланцевых соединениях кожухов из оцинкованного листа толщ.0,8мм ТЕР-2001 64	2,02	0	2,02	м2
Теплоизоляционные работы. тепловые сети т1, т2	Окраска опознавательных колец за два раза 	7,41	0	7,41	м2
Теплоизоляция. ТК1	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	568,54	0	568,54	м2
Теплоизоляция. ТК1	Огрунтовка металлических поверхностей за один раз лаком БТ-577	16,44	0	16,44	м2
Окраска "АРМОКОТ". Тепловые сети Т1, Т2	Шлифовка поверхностей	147,76	0	147,76	м2
Окраска "АРМОКОТ". Тепловые сети Т1, Т2	Обеспыливание поверхности (входит в норму окраски)	147,76	0	147,76	м2
Окраска "АРМОКОТ". Тепловые сети Т1, Т2	Обезжиривание поверхности	147,76	0	147,76	м2
Окраска "АРМОКОТ". Тепловые сети Т1, Т2	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя 	147,76	0	147,76	м2
Окраска. тк2	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя (арматуры) 	69,6	0	69,6	м2
Окраска. тк2	Шлифовка поверхностей	735,38	0	735,38	м2
Окраска. тк2	Обеспыливание поверхности 	735,38	0	735,38	м2
Окраска. тк2	Обезжиривание поверхности	735,38	0	735,38	м2
Окраска. тк2	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	735,38	0	735,38	м2
Окраска. тк2	Шлифовка поверхностей 	256,93	0	256,93	м2
Окраска. тк2	Обеспыливание поверхности 	256,93	0	256,93	м2
Окраска. тк2	Обезжиривание поверхности	256,93	0	256,93	м2
Окраска. тк2	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	256,93	0	256,93	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция трубопроводов рулонами из вспененного каучука ТЕР-2001 64	272,564	0	272,564	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изоляция арматуры и фланцевых соединений рулоном теплоизоляционным из вспененного каучука ТЕР-2001 64	8,054	0	8,054	м2
Теплоизоляционные работы. тепловые сети т1, т2	Покрытие поверхности изоляции трубопроводов сталью оцинкованной	283,57	0	283,57	м2
Теплоизоляционные работы. тепловые сети т1, т2	Изготовление и установка на арматуре и фланцевых соединениях кожухов из оцинкованного листа толщ.0,8мм 	5,77	0	5,77	м2
Теплоизоляционные работы. тепловые сети т1, т2	Окраска опознавательных колец за два раза 	14,18	0	14,18	м2
Теплоизоляция. ТК2	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	1176,39	0	1176,39	м2
Теплоизоляция. ТК2	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия	11,51	0	11,51	м2
Теплоизоляция. ТК2	Огрунтовка металлических поверхностей за один раз лаком БТ-577	23,99	0	23,99	м2
Монтаж приборов. внутриплощадочные сети. пс	Конструкции для установки приборов, масса до 2 кг	1700	0	1700	м2
Окраска "армокот". ТС	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	47,6	7,14	40,46	м2
Окраска "армокот". ТС	Очистка кварцевым песком наружных поверхностей	470,45	470,45	0	м2
Окраска "армокот". ТС	Обезжиривание поверхностей	470,45	470,45	0	м2
Окраска "армокот". ТС	Окраска огрунтованных поверхностей краской "Армокот F100" в 2 слоя	470,45	70,5675	399,8825	м2
Теплоизоляционные работы. ТС	Изготовление и установка по поверхности изоляции трубопроводов покрытия из оцинкованного листа толщ.0,5мм	969,91	969,91	0	м2
Теплоизоляционные работы. ТС	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм	51,22	51,22	0	м2
Внутренние стены и перегородки	Устройство мелких покрытий (брандмауэры, парапеты, свесы и т.п.) из листовой оцинкованной стали 	18,3	0	18,3	м2
Внутренние стены и перегородки	Кладка перегородок из кирпича армированных толщиной в 1/2 кирпича при высоте этажа свыше 4 м 	19,6	0	19,6	м2
Внутренние стены и перегородки	Штукатурка по сетке без устройства каркаса улучшенная стен 	54	0	54	м2
Входные крыльца	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка 	12,2	0	12,2	м2
Входные крыльца	Устройство изоляции слоем битумного праймера 	16,7	0	16,7	м2
Входные крыльца	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	16,7	0	16,7	м2
Лестницы площадки ограждения. Металлоконструкции	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	77	0	77	м2
Лестницы площадки ограждения. Металлоконструкции	Окраска огрунтованных поверхностей эмалью ПФ-115 за два раза 	77	0	77	м2
Лестницы площадки ограждения. Металлоконструкции	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	163,8	0	163,8	м2
Лестницы площадки ограждения. Металлоконструкции	Окраска огрунтованных поверхностей эмалью ПФ-115 за два раза 	163,8	0	163,8	м2
Монолитные ж/б конструкции	Огрунтовка фундаментов праймером 	7	0	7	м2
Монолитные ж/б конструкции	Гидроизоляция боковая обмазочная битумная в 2 слоя 	7	0	7	м2
Ограждающие конструкции	Штукатурка по сетке без устройства каркаса улучшенная стен 	200,5	0	200,5	м2
Ограждающие конструкции	Нащельники из профилированного листа С10-1000-0,7 с полимерным покрытием 	12,6	0	12,6	м2
Ограждающие конструкции	Нащельники из оцинкованной стали толщиной 0,6 мм с полимерным покрытием 	17,6	0	17,6	м2
Ограждающие конструкции	Нащельники из оцинкованной стали толщиной 0,6 мм с полимерным покрытием 	7,8	0	7,8	м2
Ограждающие конструкции	Монтаж кровельного покрытия из профилированного листа при высоте здания до 25 м 	24,3	0	24,3	м2
Ограждающие конструкции	Нащельники из оцинкованной стали толщиной 0,6 мм с полимерным покрытием 	5,7	0	5,7	м2
Окна,двери	Монтаж оконных блоков из алюминиевых многокамерных профилей с герметичными стеклопакетами 	10,1	0	10,1	м2
Окна,двери	Установка металлических дверей с площадью дверного проема: до 2,5 м2 	2	0	2	м2
Окна,двери	Установка дверей противопожарных металлических 	2,1	0	2,1	м2
Окраска	Струйная очистка до степени Sа 21/2 в соответствии с ISO 8501-1:2007 	0	0	0	м2
Окраска	Очистка поверхности щетками	13	0	13	м2
Окраска	Обеспыливание поверхности (входит в норму окраски)	70	0	70	м2
Окраска	Обезжиривание металлических поверхностей растворителем Р5 	13	0	13	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой грунтовкой "СпецПротект 007" ТУ 2312-007-81433175-09 1 слой толщиной 60 мкм 	13	0	13	м2
Окраска	Устройство антикоррозионного покрытия металлоконструкций полиуретановой эмалью "СпецПротект 109" ТУ 2312-007-81433175-09 1 слой толщиной 50 мкм, 2 слой толщиной 50 мкм 	70	0	70	м2
Отделка помещений	Устройство подвесных потолков типа "Армстронг" по каркасу из оцинкованного профиля 	76,9	0	76,9	м2
Отделка помещений	Штукатурка поверхностей внутри здания цементно-песчаным раствором М50 по камню простая стен 	104	0	104	м2
Отделка помещений	Силикатная окраска водными составами внутри помещений по штукатурке и кирпичу 	327,1	0	327,1	м2
Отделка помещений	Силикатная окраска водными составами внутри помещений по гипсокартону 	593,8	0	593,8	м2
Покрытие	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой мелкозернистой асфальто-бетонной смеси толщиной 3 см 	95,8	0	95,8	м2
Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 115 мм) 	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 100 мм) 	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 120 мм) 	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм )	34,7	0	34,7	м2
Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 100 мм) 	0	0	0	м2
Полы	Устройство выравнивающей стяжки из бетонна В15 толщиной 20 мм по уклону  (до 100 мм)	34,7	0	34,7	м2
Полы	Устройство выравнивающей стяжки из бетонна В15: на каждые 5 мм изменения толщины стяжки добавлять к норме 11-01-011-03 (общая толщина 30 мм) 	0	0	0	м2
Полы	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных с красителем 	79,4	0	79,4	м2
Полы	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка 	57,8	0	57,8	м2
Полы	Устройство покрытий из линолеума насухо со свариванием полотнищ в стыках 	34,7	0	34,7	м2
Полы	Устройство выравнивающего слоя из уретановой массы "Уредур 500" 	217,2	0	217,2	м2
Полы	Устройство армирующей сетки из стеклоткани 	217,2	0	217,2	м2
Полы	Устройство наливного пола из полимерного покрытия "Уредур 4000" 	217,2	0	217,2	м2
Полы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	5	0	5	м2
Полы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза 	5	0	5	м2
Полы	Устройство покрытий бетонных толщиной 30 мм 	74,2	0	74,2	м2
Полы	Устройство фальшполов 	33,3	0	33,3	м2
Полы	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119 	30	0	30	м2
Полы	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 за 2 раза 	30	0	30	м2
Теплоизоляционные работы	Покрытие поверхности изоляции трубопроводов стеклопластиками РСТ, тканями стеклянными 	12,32	0	12,32	м2
Окраска. ГТ	Огрунтовка металлических поверхностей за один раз грунтовкой ЭП-0259	2,5	0	2,5	м2
Окраска. ГТ	Окраска металлических огрунтованных поверхностей эмалью ПФ-115	5	0	5	м2
Окраска. ГТ	Очистка поверхности щетками	2,5	0	2,5	м2
Окраска. ГТ	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	2,5	0	2,5	м2
Каркас здания	Штукатурка колонн цементно-песчаным раствором толщ.60мм по сетке 	22	0	22	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 1,2 мм, периметром 4000 мм 	4,8	0	4,8	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,9 мм, периметром 4000 мм 	2	0	2	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм 	2,5	0	2,5	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм 	8	0	8	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм 	8	0	8	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 450 мм 	4	0	4	м2
Воздуховод	Прокладка воздуховодов из оцинкованной стали класса Н (нормальные) толщиной 0,7 мм, периметром от 1100 до 1600 мм 	1,2	0	1,2	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	7	0	7	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,5 мм, диаметром до 200 мм 	5,7	0	5,7	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 250 мм 	3,5	0	3,5	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 1,0 мм, диаметром от 900 до 1000 мм 	10	0	10	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,6 мм, диаметром до 355 мм 	1,6	0	1,6	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,9 мм, периметром 4000 мм 	38,5	0	38,5	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	44	0	44	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали толщиной 1,2 мм, диаметром до 355 мм 	1,2	0	1,2	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали толщиной 1,2 мм, диаметром до 200 мм 	1	0	1	м2
Воздуховод	Прокладка воздуховодов из листовой, оцинкованной стали и алюминия класса Н (нормальные) толщиной 0,7 мм, диаметром до 800 мм 	22	0	22	м2
Огнезащита и тепловая изоляция	Огнезащитное покрытие металлоконструкций воздуховодов приточно-вытяжных систем составом "Файрекс-300" с пределом огнестойкости 1,0 час 	1	0	1	м2
Огнезащита и тепловая изоляция	Огнезащитная пропитка ковровых изделий, тканей, занавесей составом "КЛОД-02" 	2	0	2	м2
Огнезащита и тепловая изоляция	Покрытие поверхности изоляции трубопроводов стеклотканями 	1	0	1	м2
Огнезащита и тепловая изоляция	Окраска металлических огрунтованных поверхностей краской МА-15 	31,11	0	31,11	м2
Огнезащита и тепловая изоляция	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	15	0	15	м2
Окраска ОВ	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 4,63+17,39+12,77+5,54+6,66+12,55+10,73+10,62+18,99+7,12+3,28+2,26-гр.4 	112,54	0	112,54	м2
Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	7,9	0	7,9	м2
Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	6,19	0	6,19	м2
Окраска ОВ	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 0,87+17,67+1,02+0,84+10,56+0,6+0,21+1,58+1,55+0,13+2,15-гр.4 	37,18	0	37,18	м2
Окраска ОВ	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой за 2 раза 	37,18	0	37,18	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	4,6	0	4,6	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	1,85	0	1,85	м2
Окраска	Окраска металлических огрунтованных поверхностей краской БТ-177 серебристой 	1,85	0	1,85	м2
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-021 	26	0	26	м2
Теплоизоляция	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") 	4	0	4	м2
Теплоизоляция. ОВ. ПОЗ.188	Изоляция плоских и криволинейных поверхностей пластинами (плитами) из вспененного каучука ("Армофлекс"), вспененного полиэтилена ("Термофлекс") 	15	0	15	м2
АКЗ. КМ1	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG толщиной 80 мкм 	30	0	30	м2
АКЗ. КМ1	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG толщиной 150 мкм 	30	0	30	м2
АКЗ. КМ1	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм 	30	0	30	м2
Каркас здания. КМ1	Монтаж кровельного покрытия из профилированного листа при высоте здания до 25 м 	2,3	0	2,3	м2
Изоляционные работы	Огрунтовка фундаментов праймером 	70	0	70	м2
Изоляционные работы	Гидроизоляция боковая обмазочная битумная в 2 слоя 	70	0	70	м2
Окраска. Т	Очистка поверхности щетками	75,07	0	75,07	м2
Окраска. Т	Обеспыливание поверхности (входит в норму окраски)	75,07	0	75,07	м2
Окраска. Т	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом 	75,07	0	75,07	м2
Окраска. Т	Огрунтовка металлических поверхностей грунтовкой Цинотан по ТУ2312-017-12288779-99 за один раз (толщина слоя 80 мкм) 	142,4	0	142,4	м2
Окраска. Т	Огрунтовка металлических поверхностей за один раз эмалью ПОЛИТОН-УР за 1 раз 	142,4	0	142,4	м2
Окраска. Т	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз 	142,4	0	142,4	м2
Теплоизоляционные работы. Т	Изготовление и установка по поверхности изоляции аппаратов деталей готового металлического покрытия из алюминевого листа марки АД1Н толщ.0,5мм 	21,85	0	21,85	м2
Теплоизоляционные работы. Т	Огрунтовка металлических поверхностей за один раз лаком БТ-577 	5,31	0	5,31	м2
Теплоизоляционные работы. Т	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	10,02	0	10,02	м2
Теплоизоляционные работы. Т	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	6,85	0	6,85	м2
Теплоизоляционные работы. Т	Покрытие поверхности изоляции трубопроводов: сталью оцинкованной 	221,24	0	221,24	м2
Теплоизоляционные работы. Т	Изоляция арматуры и фланцев съемными полуфутлярами из оцинкованного листа толщ.0,8мм 	98,94	0	98,94	м2
Теплоизоляционные работы. Т	Огрунтовка металлических поверхностей за один раз лаком БТ-577 	7,7	0	7,7	м2
Окрасочные Работы	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан 	5,1	0	5,1	м2
Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР за 1 раз	5,1	0	5,1	м2
Окрасочные Работы	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН-УР [УФ] за 1 раз	5,1	0	5,1	м2
Окрасочные Работы	Очистка поверхности щетками	0,94	0	0,94	м2
Окрасочные Работы	Обеспыливание поверхности (входит в норму окраски)	0,94	0	0,94	м2
Окрасочные Работы	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм уайт-спиритом	0,94	0	0,94	м2
Окрасочные Работы	Огрунтовка металлических поверхностей за один раз грунтовкой Цинотан 	0,94	0	0,94	м2
