"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный кровельный ковер готовой эмульсией битумной	391,0000	0,0000	391,0000	м2	0,0310
Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой изола	391,0000	0,0000	391,0000	м2	0,1100
Кровля (Изоляция)	Утепление кровли минераловатными плитами ТЕХНОРУФ 70 толщ.120мм	391,0000	0,0000	391,0000	м2	0,1800
Кровля (Изоляция)	Устройство выравнивающих стяжек: цементно-песчаных толщиной 15 мм	391,0000	0,0000	391,0000	м2	0,1460
Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой из пергамина	391,0000	0,0000	391,0000	м2	0,0450
Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный ковер битумной эмульсией	391,0000	0,0000	391,0000	м2	0,0310
Кровля (Изоляция)	Устройство рулонной кровли из 2-х слоев "Унифлекс" ТПП и 1 слоя Унифлекс ЭКП	1 172,0000	0,0000	1 172,0000	м2	0,2450
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины (добавить 10 мм до общей 25 мм)	390,6000	0,0000	390,6000	м2	0,0062
Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины к 12-01-017-01 (добавить 45 мм для уклона)	390,6000	0,0000	390,6000	м2	0,0117
Кровля (Изоляция)	Установка пароизоляционного слоя из: пленки полиэтиленовой (без стекловолокнистых материалов)	160,0000	0,0000	160,0000	м2	0,0340
Кровельные примыкания	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	228,3000	0,0000	228,3000	м2	0,7400
Кровельные примыкания	Герметизация узлов проходов коммуникаций в кровле герметизирующей кровельной лентой	14,0000	0,0000	14,0000	м2	0,3200
Стены и перегородки	Штукатурка по сетке без устройства каркаса: улучшенная стен	40,0000	0,0000	40,0000	м2	1,1500
Стены и перегородки	Штукатурка поверхностей внутри здания цементно-известковым раствором: простая стен	1 307,0000	0,0000	1 307,0000	м2	0,6500
Стены и перегородки	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7000	0,0000	428,7000	м2	1,1500
Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей заводской готовности при высоте до 50 м	31,5000	0,0000	31,5000	м2	0,4800
Козырьки и крыльца	Наружная облицовка стен металлосайдингом в горизонтальном исполнении по каркасу	28,0000	0,0000	28,0000	м2	0,8200
Козырьки и крыльца	Монтаж мк крылец с обрамлением профлистом	15,0000	0,0000	15,0000	м2	1,1400
Козырьки и крыльца	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	12,6000	0,0000	12,6000	м2	0,7400
Крыльца и отмостка	Устройство плитки крылец 6К3	9,0000	0,0000	9,0000	м2	1,4200
Крыльца и отмостка	Покрытие площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91,0000	0,0000	91,0000	м2	0,5900
Заполнение проемов	Замена стеклопакетов оконных	6,0000	0,0000	6,0000	м2	0,7200
Фальшполы	Повторный монтаж покрытия полов (фальшпол) съемных металлических полов из плит размером 500х500 мм	37,8400	0,0000	37,8400	м2	0,6200
Полы и отделка	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5,0000	0,0000	5,0000	м2	0,1400
Полы и отделка	Устройство покрытия из плиток керамических на плиточном клее Глимс-96	5,0000	0,0000	5,0000	м2	1,1800
Полы и отделка	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных с красителем	35,3000	0,0000	35,3000	м2	0,9400
Потолочные работы	Устройство подвесных потолков типа "Армстронг" по каркасу из оцинкованного профиля	250,2900	0,0000	250,2900	м2	0,4200
Потолочные работы	Покрытие поверхностей грунтовкой глубокого проникновения: за 1 раз потолков	45,6000	0,0000	45,6000	м2	0,0380
Потолочные работы	Окраска поливинилацетаными водоэмульсионными составами простая по штукатурке: потолков	45,6000	0,0000	45,6000	м2	0,1150
Потолочные работы	Улучшенная окраска акриловой краской ВД-К4 Интерьер	92,0000	0,0000	92,0000	м2	0,1100
Внутренняя отделка	Отделка стен внутри помещений мелкозернистыми декоративными минеральными покрытиями	305,0000	0,0000	305,0000	м2	0,7600
Внутренняя отделка	Огрунтовка ж.б. поверхностей акриловой пропиточной грунтовкой "Интерьер" по ГОСТ 52020-2003	70,0000	0,0000	70,0000	м2	0,0280
Внутренняя отделка	Окраска стен водоэмульсионной краской	70,0000	0,0000	70,0000	м2	0,1290
Внутренняя отделка	Улучшенная окраска акриловой краской ВД-К4 Интерьер в 2 слоя	1 124,0000	0,0000	1 124,0000	м2	0,1850
Внутренняя отделка	Облицовка стен декоративным бумажно-слоистым пластиком по сплошному основанию	94,8000	0,0000	94,8000	м2	0,6400
Внутренняя отделка	Окраска водно-дисперсионными акриловыми составами улучшенная: по штукатурке стен	22,6000	0,0000	22,6000	м2	0,1480
Антикоррозийная защита	Очистка кварцевым песком: сплошных наружных поверхностей	31,6000	0,0000	31,6000	м2	0,3200
Антикоррозийная защита	Обеспыливание поверхности	31,6000	0,0000	31,6000	м2	0,0170
Антикоррозийная защита	Обезжиривание поверхностей аппаратов и трубопроводов диаметром до 500 мм: уайт-спиритом	31,6000	0,0000	31,6000	м2	0,0650
Антикоррозийная защита	Окраска металлических огрунтованных поверхностей: эмалью ХВ-125 (СБЭ-111 «УНИПОЛ» марки АМ в 2 слоя)	31,6000	0,0000	31,6000	м2	0,1950
Крыльца	Устройство покрытий из мозаичного бетона кл.В15,толщ.20мм (Скрытый конструктив площадок крылец)	6,3000	0,0000	6,3000	м2	1,1800
Крыльца	Шлифовка цементно-бетонных мозаичных покрытий крылец	6,3000	0,0000	6,3000	м2	0,4200
Потолки	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м (Подмости для ремонта штукатурки)	360,0000	0,0000	360,0000	м2	0,5900
Земляные работы	Устройство основания	67,0000	0,0000	67,0000	м2	0,0400
Фундаментные работы	Гидроизоляция боковая обмазочная праймером	55,0000	0,0000	55,0000	м2	0,0340
Фундаментные работы	Гидроизоляция боковая обмазочная битумная в 2 слоя	55,0000	0,0000	55,0000	м2	0,3900
Земляные работы	Привести планировку земли вокруг сооружения к требованиям п.4.15 СП 43.13330.2012	4,0000	0,0000	4,0000	м2	0,1020
Конструктивный этап	Монтаж кровельного покрытия из профилированного листа	135,0000	0,0000	135,0000	м2	16,8000
Промышленная АКЗ	укрытие прилегающих поверхностей при антикоррозийных работах	1 161,0000	0,0000	1 161,0000	м2	0,0140
Промышленная АКЗ	Очистка гидропескоструйным аппаратом, водой за 2 раза металлических поверхностей эстакады	1 161,0000	0,0000	1 161,0000	м2	0,3800
Промышленная АКЗ	Обеспыливание, обезжиривание металлических поверхностей растворителем Р646	1 161,0000	0,0000	1 161,0000	м2	0,0840
Промышленная АКЗ	Огрунтовка металлических поверхностей грунтовкой Цинотан за один раз (толщина слоя 80 мкм)	1 161,0000	0,0000	1 161,0000	м2	0,1200
Промышленная АКЗ	Окраска металлических огрунтованных поверхностей эмалью ПОЛИТОН за 2 раза	1 161,0000	0,0000	1 161,0000	м2	0,1800
Земляные работы	Устройство основания под фундаменты Ф1 - 3шт. (усасток эстакады 5-6)	5,0700	0,0000	5,0700	м2	0,0400
Земляные работы	Уплотнение основания вручную - 7шт. (вдоль поз.193, поз.194)	28,0000	0,0000	28,0000	м2	0,0310
Земляные работы	Уплотнение основания щебеночного вручную - 7шт. (вдоль поз.193, поз.194)	28,0000	0,0000	28,0000	м2	0,0310
Земляные работы	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм) - 7шт. (вдоль поз.193, поз.194)	28,0000	0,0000	28,0000	м2	0,0340
Фундаментные работы	Обмазочная гидроизоляция фундамента Ф2 - 7шт. (вдоль поз.193, поз.194)	40,9500	0,0000	40,9500	м2	0,3900
Фундаментные работы	Подливка под опору колонны фундамента Ф2 - 7шт. (вдоль поз.193, поз.194)	0,4380	0,0000	0,4380	м2	0,2800
Фундаментные работы	Восстановительный ремонт подливок опорных площадок колонн при помощи ремонтных смесей	16,0000	0,0000	16,0000	м2	1,1400
Фундаментные работы	Восстановительный ремонт фундаментов при помощи ремонтных смесей (Отсутствие защитного слоя бетона)	55,0000	0,0000	55,0000	м2	1,0200
Фундаментные работы	Обработка анкеров антикорозийной смесью	32,0000	0,0000	32,0000	м2	0,1200
Земляные работы	Восстановление плодородного слоя толщ. 200мм. Ф2 - 7шт. (вдоль поз.193, поз.194)	63,0000	0,0000	63,0000	м2	0,0450
Земляные работы	Планировка грунта строительной площалки вручную Ф2 - 7шт. (вдоль поз.193, поз.194)	63,0000	0,0000	63,0000	м2	0,1020
Конструктивный этап	Установка и разборка внутренних трубчатых инвентарных лесов при высоте помещений до 6 м	0,0000	0,0000	0,0000	м2	0,5900
Конструктивный этап	Установка и разборка лесов на каждые последующие 4 м высоты помещений (высота до 8 м для работы м/к)	1 000,0000	0,0000	1 000,0000	м2	0,3260
Лестницы, площадки	Монтаж кровельного покрытия из профилированного листа	610,0000	0,0000	610,0000	м2	3,0500
Промышленная АКЗ	пескоструйная очистка металлоконструкций эстакады	3 500,0000	0,0000	3 500,0000	м2	0,3800
Промышленная АКЗ	обеспыливание, обезжиривание металлических поверхностей под АКЗ	3 500,0000	0,0000	3 500,0000	м2	0,0840
Промышленная АКЗ	Огрунтовка металлических поверхностей за один раз грунтовкой Эмлак праймер цинк NG (80 мкм)	3 500,0000	0,0000	3 500,0000	м2	0,1200
Промышленная АКЗ	Окраска металлических поверхностей в 1 слой эмалью Эмакоут 5335NG (150 мкм)	3 500,0000	0,0000	3 500,0000	м2	0,1100
Промышленная АКЗ	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG (50 мкм)	3 500,0000	0,0000	3 500,0000	м2	0,1100
Подготовительный этап	Очистка участка/площадки от строительного мусора	576,0000	0,0000	576,0000	м2	0,0391
Подготовительный этап	Уборка помещения внутри от строительного мусора и птичьего помета (Плита пола, общая площадь 838 м2)	838,0000	0,0000	838,0000	м2	0,0420
Подготовительный этап	Отбивка пораженной штукатурки с поверхностей стен и потолков кирпичных (демонтаж по НЗС)	320,0000	0,0000	320,0000	м2	0,2600
Демонтажные работы	Демонтаж наружной облицовки поверхности стен сайдингом металлическим (Подготовка основания фасада)	280,0000	0,0000	280,0000	м2	0,2900
Демонтажные работы	Демонтаж доборных элементов обрамления стеновых сэндвич-панелей из оцинкованной стали	200,0000	0,0000	200,0000	м2	0,1480
Демонтажные работы	Демонтаж доборных элементов обрамления кровельных сэндвич-панелей из оцинкованной стали	200,0000	0,0000	200,0000	м2	0,1480
Демонтажные работы	Установка блоков из ПВХ в наружных и внутренних дверных проемах (демонтаж старых блоков)	7,5000	0,0000	7,5000	м2	0,5200
Демонтажные работы	Установка металлических дверных блоков в готовые проемы (демонтаж существующих конструкций)	11,2300	0,0000	11,2300	м2	0,5200
Демонтажные работы	Демонтаж треснувших покрытия из плиток керамических на плиточном клее	5,0000	0,0000	5,0000	м2	0,1400
Земляные работы	Уплотнение земляного грунта основания щебнем фракции 40-70 мм	28,0000	0,0000	28,0000	м2	0,0450
Земляные работы	Устройство основания толщиной под тротуары из щебня	280,7000	0,0000	280,7000	м2	0,0840
Фундаментные работы	Устройство боковой обмазочной изоляции стен и конструкций битумным праймером (Резерв НЗС)	0,0000	0,0000	0,0000	м2	0,0340
Фундаменты конструкций	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза (Резерв НЗС)	0,0000	0,0000	0,0000	м2	0,3900
Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей (сэндвич-панелей) заводской готовности	31,5000	0,0000	31,5000	м2	0,4800
Стеновое ограждение	Устройство вентилируемых фасадов с облицовкой плитами из керамогранита с теплоизоляционным слоем	280,0000	0,0000	280,0000	м2	1,4200
Стеновое ограждение	Замена поврежденных утеплителя и ветрозащитной мембраны с устройством вентзазора (цоколь 1,8м)	250,0000	0,0000	250,0000	м2	0,4500
Стеновое ограждение	Восстановление цоколя плиточным покрытием (взамен керамической плитки с трещинами и сколами)	250,0000	0,0000	250,0000	м2	1,4200
Стеновое ограждение	Монтаж ограждающих конструкций внутренних стен из профилированного листа	90,0000	0,0000	90,0000	м2	0,2100
Кровельный этап	Огрунтовка металлических несущих балок перекрытия за один раз грунтовкой ГФ-0119	39,6000	0,0000	39,6000	м2	0,1100
Кровельный этап	Огнезащитное покрытие балок перекрытия терморасширяющимся огнезащитным материалом "Огракс-В-СК"	39,6000	0,0000	39,6000	м2	0,2600
Кровельный этап	Устройство мелких покрытий парапетов, брандмауэров и свесов из листовой оцинкованной стали	41,6000	0,0000	41,6000	м2	0,7400
Кровельный этап	Дополнительное устройство мелких фасонных покрытий из листовой оцинкованной стали (Доборные элементы)	8,0000	0,0000	8,0000	м2	0,7400
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" с одинарным металлокаркасом глухих	177,5000	0,0000	177,5000	м2	0,6200
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" под монтаж внутренних дверных блоков	177,5000	0,0000	177,5000	м2	0,6800
Внутренние перегородки	Устройство перегородок из ГВЛ по системе "КНАУФ" глухих (Дополнительные проектные зоны)	174,8000	0,0000	174,8000	м2	0,6200
Заполнение проемов	Монтаж оконных блоков из алюминиевых многокамерных профилей с герметичными стеклопакетами	7,6000	0,0000	7,6000	м2	0,8400
Заполнение проемов	Установка металлических дверей с площадью дверного проема до 2,5 м2	2,0300	0,0000	2,0300	м2	1,4200
Заполнение проемов	Установка блоков из ПВХ в наружных и внутренних дверных проемах в каменных стенах	1,8000	0,0000	1,8000	м2	1,1800
Заполнение проемов	Установка противопожарных дверей однопольных глухих в готовые проемы	6,9300	0,0000	6,9300	м2	1,2400
Полы (Покрытия)	Устройство покрытий бетонных базовой толщиной 30 мм	27,5000	0,0000	27,5000	м2	0,2600
Полы (Покрытия)	Добавление толщины бетонного покрытия на каждые 5 мм изменения проектного слоя	27,5000	0,0000	27,5000	м2	0,0110
Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой пола отм. 0.000)	97,7000	0,0000	97,7000	м2	0,2600
Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм без рисунка (Специальные зоны)	12,8000	0,0000	12,8000	м2	1,1800
Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных	97,7000	0,0000	97,7000	м2	0,9400
Полы (Покрытия)	Устройство покрытий на цементном растворе из плиток керамических (отметка +4.300)	35,3000	0,0000	35,3000	м2	0,9400
Полы (Покрытия)	Устройство покрытий бетонных толщиной 30 мм (Базовый слой плиты перекрытия +4.300)	35,3000	0,0000	35,3000	м2	0,2600
Полы (Покрытия)	Увеличение толщины бетонного покрытия набетонки на отметке +4.300 до проектных 68 мм	35,3000	0,0000	35,3000	м2	0,0836
Полы (Покрытия)	Устройство покрытий мозаичных терраццо толщиной 20 мм с рисунком (Площадки крылец)	4,3000	0,0000	4,3000	м2	1,6400
Полы (Покрытия)	Шлифовка бетонных, металлоцементных или мозаичных покрытий крылец	4,3000	0,0000	4,3000	м2	0,4200
Полимерные полы	Грунтовочно-пропиточный слой полимерного наливного покрытия "УРЕДУР 500" перед финишем	541,2000	0,0000	541,2000	м2	0,0720
Полимерные полы	Оклейка обеспыленных бетонных поверхностей высокопрочной стеклотканью в 1 слой	541,2000	0,0000	541,2000	м2	1,4600
Полимерные полы	Финишное устройство покрытий полимерных наливных полов "УРЕДУР 4000"	541,2000	0,0000	541,2000	м2	0,1800
Потолочные работы	Устройство из ГКЛ подвесных потолков: на одноуровневом металлическом каркасе 60х27 мм (Зоны без фальшпотолка)	45,3000	0,0000	45,3000	м2	0,5300
Внутренняя отделка	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7000	0,0000	428,7000	м2	1,1500
Внутренняя отделка	Штукатурка поверхностей внутри здания цементно-известковым или цементным раствором по камню и бетону простая стен	560,0000	0,0000	560,0000	м2	0,6500
Внутренняя отделка	Силикатная окраска водными составами внутри помещений по штукатурке стен (Выровненная площадь стен)	450,0000	0,0000	450,0000	м2	0,1290
Внутренняя отделка	Силикатная окраска водными составами внутри помещений по ГВЛВ перегородкам (Выровненная площадь стен)	388,5000	0,0000	388,5000	м2	0,1290
Устройство покрытий	Устройство оснований под тротуары из щебня толщиной 100 мм (Пересчитано из 100 м2)	280,7000	0,0000	280,7000	м2	0,0840
Устройство покрытий	Устройство асфальтобетонных покрытий дорожек и тротуаров однослойных из литой смеси толщиной 3 см	224,5000	0,0000	224,5000	м2	0,1440
Устройство покрытий	На каждые 0,5 см изменения толщины асфальтобетонного покрытия добавлять к расценке 27-07-001-01	0,0000	0,0000	0,0000	м2	0,0232
Промышленная АКЗ	Струйная очистка водой до степени Sа 2 1/2 в соответствии с ISO 8501-1:2007	129,5500	0,0000	129,5500	м2	0,3800
Промышленная АКЗ	Очистка поверхности металлоконструкций щетками вручную	3,3200	0,0000	3,3200	м2	0,1700
Промышленная АКЗ	Обеспыливание поверхности металлоконструкций перед грунтованием	132,8700	0,0000	132,8700	м2	0,0280
Промышленная АКЗ	Обезжиривание поверхностей металлоконструкций растворителями (Пересчитано из 100 м2)	132,9000	0,0000	132,9000	м2	0,0840
Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой грунтовкой "СпецПротект 007" 1 слой (60 мкм)	132,9000	0,0000	132,9000	м2	0,1200
Промышленная АКЗ	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (толщина 100 мкм)	132,9000	0,0000	132,9000	м2	0,1800
Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных 	0,4700	0,0000	0,4700	100 м2	39,6000
Леса	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для прочих отделочных работ 	0,6873	0,0000	0,6873	100 м2	54,8000
Прочие работы	Установка и разборка наружных инвентарных лесов тубчатых высотой до 16 мм для прочих отделочных работ	8,4400	0,0000	8,4400	100м2	54,8000
Земляные работы. Разработка грунта	Крепление инвентарными щитами стенок траншей шириной до 2 м в грунтах устойчивых (ФДС/ГЭСН)	3,9400	0,0000	3,9400	100 м2	31,2000
Оборудование	Покрытие изоляции плоских (криволинейных) поверхностей листовым металлом с заготовкой покрытия	3,0684	0,0000	3,0684	100 м2	84,3000
Оборудование	Установка на люках и фланцевых соединениях кожухов изоцинкованноголиста толщ. 1мм ТЕР-2001 64	0,6106	0,0000	0,6106	100 м2	124,0000
Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м трубчатых для производства теплоизоляционных работ ТЕР-2001 64	2,5231	0,0000	2,5231	100 м2	54,8000
Оборудование	Установка и разборка наружных инвентарных лесов высотой до 16 м подвесных ТЕР-2001 64	1,7254	0,0000	1,7254	100 м2	39,6000
Монтаж - Прожекторная мачта ПМС-29,3 ( 211 по ГП)	Монтаж железобетонных конструкций: ригель РФ 3.0	0,0000	0,0000	0,0000	м2	1,4400
Земляные работы. Обратная засыпка. Эстакада. АС	Восстановление плодородного слоя толщ. 200мм. (14шт.х9м2)	126,0000	0,0000	126,0000	м2	0,0450
Земляные работы. Обратная засыпка. Эстакада. АС	Планировка грунта строительной площалки вручную (14шт.х9м2)	126,0000	0,0000	126,0000	м2	0,1020
Окраска	Пескоструйная очистка металлокнструкций	163,0000	0,0000	163,0000	м2	0,3800
Окраска	Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-0119	163,0000	0,0000	163,0000	м2	0,1100
Окраска	Окраска металлических огрунтованных поверхностей эмалью ПФ-115 в 2 слоя	163,0000	0,0000	163,0000	м2	0,1600
Фундаменты	"Восстановительный ремонт фундаментов при помощи ремонтных смесей (Отсутствие защитного слоя бетона) при помощи ремонтных смесей Emaco Nanocrete АР   (ремонтная смесь MAPEGROUT THIXOTROPIC)
- Ф1-13шт.х3м2 (0,5х4х1,5) =39м2
- Ф2-1шт.х3м2 (0,5х4х1,5) =3м2"	14,0000	0,0000	14,0000	м2	1,0200
Фундаменты	"Восстановительный ремонт подливок опорных площадок колонн
- Ф1-13шт.х0,25м2 (0,5х0,5) =3,25м2
- Ф2-1шт.х0,25м2 (0,5х0,5) =0,25м2"	3,5000	0,0000	3,5000	м2	1,1400
Фундаменты	Гидроизоляция боковая обмазочная битумная в 2 слоя по выравненной поверхности бетона	14,0000	0,0000	14,0000	м2	0,3900
Леса. Эстакада	Установка и разборка наружных инвентарных лесов высотой до 16 м: трубчатых для прочих отделочных работ	1,0200	0,0000	1,0200	100 м2	54,8000
Окраска. Эстакада. АС1	Окраска металлических огрунтованных поверхностей: эмалью ПФ-115	16,0000	0,0000	16,0000	100 м2	10,3000
Окраска. Эстакада. АС1	Огрунтовка металлических поверхностей за один раз: грунтовкой ГФ-0119	16,0000	0,0000	16,0000	100 м2	11,0000
Фундаменты Ф1, Ф2, Ф3, Ф4. Эстакада	Гидроизоляция боковая обмазочная битумная в 2 слоя по выровненной поверхности бутовой кладки, кирпичу, бетону 	3,1200	0,0000	3,1200	100 м2	39,0000
Окраска "арсет-газ". антикоррозийная защита металлоконструкций,эстакад.	Окраска металлических поверхностей в 1 слой эмалью Эматоп NG толщиной 50 мкм	3,0000	0,0000	3,0000	100 м2	11,0000
Разработка грунта  эстакада	Устройство и уплотнение основания, вручную, Фм1 (2,0х2,0м.)	4,0000	0,0000	4,0000	м2	0,0310
Фундаменты.  Эстакада	Укладка полиэтиленовой пленки толщ.0,2мм. (200мкм)	2,5600	0,0000	2,5600	м2	0,0340
Фундаменты.  Эстакада	Гидроизоляция боковая обмазочная праймером Фм1 - 8,04м2	8,0400	0,0000	8,0400	м2	0,0340
